Euring;Sortering;Artnavn;Latin;English;Status;Type
18500;8030;Snespurv;"Plectrophenax nivalis";"Snow Bunting";A;art
18479;8040;Lapværling/Snespurv;"Calcarius lapponicus/Plectrophenax nivalis";"Lapland Longspur/Snow Bunting";H;ubestemt
18470;8050;Lapværling;"Calcarius lapponicus";"Lapland Longspur";AS;art
18770;8060;Rørspurv;"Emberiza schoeniclus";"Common Reed Bunting";A;art
18710;8070;"Gulbrynet Værling";"Emberiza chrysophrys";"Yellow-browed Bunting";AU;art
18760;8080;"Gulbrystet Værling";"Emberiza aureola";"Yellow-breasted Bunting";AU;art
18740;8090;Dværgværling;"Emberiza pusilla";"Little Bunting";AS;art
18730;8100;Pileværling;"Emberiza rustica";"Rustic Bunting";AU;art
18810;8110;Hætteværling;"Emberiza melanocephala";"Black-headed Bunting";AU;art
18809;8120;"Brunhovedet Værling/Hætteværling";"Emberiza bruniceps/E. melanocephala";"Red-headed Bunting/Black-headed Bunting";HU;ubestemt
18800;8130;"Brunhovedet Værling";"Emberiza bruniceps";"Red-headed Bunting";AU;art
18820;8140;Bomlærke;"Emberiza calandra";"Corn Bunting";A;art
18600;8150;Klippeværling;"Emberiza cia";"Rock Bunting";AU;art
18670;8160;Bjerghortulan;"Emberiza buchanani";"Grey-necked Bunting";AU;art
18650;8170;"Gulgrå Værling";"Emberiza cineracea";"Cinereous Bunting";AU;art
18660;8180;Hortulan;"Emberiza hortulana";"Ortolan Bunting";AS;art
18580;8190;Gærdeværling;"Emberiza cirlus";"Cirl Bunting";AU;art
18560;8200;"Hvidkindet Værling";"Emberiza leucocephalos";"Pine Bunting";AU;art
18570;8210;Gulspurv;"Emberiza citrinella";Yellowhammer;A;art
18819;8220;"Værling sp.";"Emberiza sp.";"Bunting sp.";H;ubestemt
18420;8230;"Mørkøjet Junco";"Junco hyemalis";"Dark-eyed Junco";AU;art
18400;8240;"Hvidstrubet Spurv";"Zonotrichia albicollis";"White-throated Sparrow";AU;art
18390;8250;"Hvidkronet Spurv";"Zonotrichia leucophrys";"White-crowned Sparrow";AU;art
17530;8260;"Stribet Sanger";"Setophaga striata";"Blackpoll Warbler";AU;art
17330;8270;"Gul Sanger";"Setophaga aestiva";"American Yellow Warbler";AU;art
18870;8280;"Rosenbrystet Kernebider";"Pheucticus ludovicianus";"Rose-breasted Grosbeak";AU;art
18920;8290;Indigofinke;"Passerina cyanea";"Indigo Bunting";DU;art
19999;8300;"Småfugl sp. (Pibere, Finker, Spurve o.lign.)";Passerinae;"Passerine sp.";H;ubestemt
24997;8310;"Burfugl sp.";"Cage bird sp.";"Cage bird sp.";H;ubestemt
99999;8320;"Ny fugleart for landet";"Aves sp.";"New bird species for Denmark";HU;ubestemt
24998;8330;"Hybrid sp.";Hybrid;Hybrid;H;hybrid
AM001;8340;"Lille Vandsalamander";"Triturus vulgaris";"Common Newt";X;andre_dyr
AM002;8350;"Stor Vandsalamander";"Triturus cristatus";"Great Crested Newt";X;andre_dyr
AM003;8360;Bjergsalamander;"Triturus alpestris";"Alpine Newt";X;andre_dyr
AM004;8370;Klokkefrø;"Bombina bombina";"Fire-bellied Toad";X;andre_dyr
AM005;8380;Løgfrø;"Pelobates fuscus";"Common Spadefoot";X;andre_dyr
AM006;8390;Skrubtudse;"Bufo bufo";"Common Toad";X;andre_dyr
AM007;8400;"Grønbroget Tudse";"Bufo viridis";"Green Toad";X;andre_dyr
AM008;8410;Strandtudse;"Bufo calamita";Natterjack;X;andre_dyr
AM009;8420;Løvfrø;"Hyla arborea";"Common Tree Frog";X;andre_dyr
AM010;8430;"Butsnudet Frø";"Rana temporaria";"Common Frog";X;andre_dyr
AM011;8440;"Spidssnudet Frø";"Rana arvalis";"Moor Frog";X;andre_dyr
AM012;8450;Springfrø;"Rana dalmatina";"Agile Frog";X;andre_dyr
AM013;8460;"Grøn Frø";"Rana esculenta";"Edible Frog";X;andre_dyr
AM014;8470;Latterfrø;"Rana ridibunda";"Marsh Frog";X;andre_dyr
AM015;8480;Balkanlatterfrø;"Pelophylax kurtmuelleri";"Balkan frog";X;andre_dyr
AM069;8490;"Salamander sp.";Salamandridae;"Newt sp.";X;andre_dyr
AM079;8500;"Springpadder sp.";Salientia;"Frogs and Toads sp.";X;andre_dyr
AM087;8510;"Butsnudet/Spidssnudet/Springfrø sp.";"Rana temporaria/arvalis/dalmatina sp.";"Common/Moor/Agile Frog sp.";X;andre_dyr
AM088;8520;"Tudse sp.";Bufonidae;"Toad sp.";X;andre_dyr
AM089;8530;"Ægte Frø sp.";Ranidae;"Frog sp.";X;andre_dyr
AM113;8540;"Grøn Frø han/Latterfrø hun";"Rana esculenta/R. ridibunda";"Edible Frog male/Marsh Frog female";X;andre_dyr
LE001;8550;"Gråbåndet Bredpande";"Erynnis tages";"Dinky Skipper";X;andre_dyr
LE002;8560;"Spættet Bredpande";"Pyrgus malvae";"Grizzled Skipper";X;andre_dyr
LE003;8570;"Fransk Bredpande";"Pyrgus armoricanus";"Oberthürs Grizzled Skipper";X;andre_dyr
LE004;8580;Skærbredpande;"Pyrgus serratulae";"Olive Skipper";X;andre_dyr
LE005;8590;"Sortplettet Bredpande";"Carterocephalus silvicola";"Northern Chequered Skipper";X;andre_dyr
LE006;8600;Spejlbredpande;"Heteropterus morpheus";"Large Chequered Skipper";X;andre_dyr
LE007;8610;Stregbredpande;"Thymelicus lineola";"Essex Skipper";X;andre_dyr
LE008;8620;Skråstregbredpande;"Thymelicus sylvestris";"Small Skipper";X;andre_dyr
LE009;8630;Kommabredpande;"Hesperia comma";"Silver-spotted Skipper";X;andre_dyr
LE010;8640;"Stor Bredpande";"Ochlodes faunus";"Large Skipper";X;andre_dyr
LE263;8650;Marmorbredpande;"Carcharodus alceae";"Mallow Skipper";X;andre_dyr
LE011;8660;Apollo;"Parnassius apollo";Apollo;X;andre_dyr
LE012;8670;Mnemosyne;"Parnassius mnemosyne";"Clouded Apollo";X;andre_dyr
