Scientific (AviList),English (AviList)
Aix sponsa,Wood Duck
Neochen,
Neochen jubata,Orinoco Goose
Chloephaga,
Chloephaga melanoptera,Andean Goose
Chloephaga picta,Upland Goose
Chloephaga picta picta,
Chloephaga picta leucoptera,
Chloephaga hybrida,Kelp Goose
Chloephaga hybrida hybrida,
Chloephaga hybrida malvinarum,
Chloephaga poliocephala,Ashy-headed Goose
Chloephaga rubidiceps,Ruddy-headed Goose
Radjah,
Radjah radjah,Radjah Shelduck
Radjah radjah radjah,
Radjah radjah rufitergum,
Alopochen,
Alopochen aegyptiaca,Egyptian Goose
Alopochen mauritiana,Mauritius Sheldgoose
Alopochen kervazoi,Reunion Sheldgoose
Tadorna,
Tadorna tadorna,Common Shelduck
Tadorna cristata,Crested Shelduck
Tadorna cana,South African Shelduck
Tadorna ferruginea,Ruddy Shelduck
Tadorna variegata,Paradise Shelduck
Tadorna tadornoides,Australian Shelduck
Clangula,
Clangula hyemalis,Long-tailed Duck
Polysticta,
Polysticta stelleri,Steller's Eider
Camptorhynchus,
Camptorhynchus labradorius,Labrador Duck
Somateria,
Somateria fischeri,Spectacled Eider
Somateria spectabilis,King Eider
Somateria mollissima,Common Eider
Somateria mollissima v-nigrum,
Somateria mollissima borealis,
Somateria mollissima sedentaria,
Somateria mollissima dresseri,
Somateria mollissima faeroeensis,
Somateria mollissima mollissima,
Histrionicus,
Histrionicus histrionicus,Harlequin Duck
Melanitta,
Melanitta nigra,Common Scoter
Melanitta americana,Black Scoter
Melanitta perspicillata,Surf Scoter
Melanitta fusca,Velvet Scoter
Melanitta deglandi,White-winged Scoter
Melanitta stejnegeri,Stejneger's Scoter
Bucephala,
Bucephala albeola,Bufflehead
Bucephala islandica,Barrow's Goldeneye
Bucephala clangula,Common Goldeneye
Bucephala clangula clangula,
Bucephala clangula americana,
Mergellus,
Mergellus albellus,Smew
Lophodytes,
Lophodytes cucullatus,Hooded Merganser
Mergus,
Mergus serrator,Red-breasted Merganser
Mergus squamatus,Scaly-sided Merganser
Mergus octosetaceus,Brazilian Merganser
Mergus australis,New Zealand Merganser
Mergus merganser,Common Merganser
Mergus merganser merganser,
Mergus merganser orientalis,
Mergus merganser americanus,
Sarkidiornis,
Sarkidiornis melanotos,Knob-billed Duck
Sarkidiornis sylvicola,Comb Duck
Hymenolaimus,
Hymenolaimus malacorhynchos,Blue Duck
Hymenolaimus malacorhynchos malacorhynchos,
Hymenolaimus malacorhynchos hymenolaimus,
Chenonetta,
Chenonetta jubata,Maned Duck
Cyanochen,
Cyanochen cyanoptera,Blue-winged Goose
Pteronetta,
Pteronetta hartlaubii,Hartlaub's Duck
Marmaronetta,
Marmaronetta angustirostris,Marbled Duck
Asarcornis,
Asarcornis scutulata,White-winged Duck
Rhodonessa,
Rhodonessa caryophyllacea,Pink-headed Duck
Netta,
Netta rufina,Red-crested Pochard
Netta erythrophthalma,Southern Pochard
Netta erythrophthalma brunnea,
Netta erythrophthalma erythrophthalma,
Netta peposaca,Rosy-billed Pochard
Aythya,
Aythya nyroca,Ferruginous Duck
Aythya innotata,Madagascar Pochard
Aythya baeri,Baer's Pochard
Aythya australis,Hardhead
Aythya ferina,Common Pochard
Aythya valisineria,Canvasback
Aythya collaris,Ring-necked Duck
Aythya americana,Redhead
Aythya fuligula,Tufted Duck
Aythya novaeseelandiae,New Zealand Scaup
Aythya affinis,Lesser Scaup
Aythya marila,Greater Scaup
Aythya marila marila,
Aythya marila nearctica,
Salvadorina,
Salvadorina waigiuensis,Salvadori's Teal
Lophonetta,
Lophonetta specularioides,Crested Duck
Lophonetta specularioides alticola,
Lophonetta specularioides specularioides,
Speculanas,
Speculanas specularis,Bronze-winged Duck
Amazonetta,
Amazonetta brasiliensis,Brazilian Teal
Amazonetta brasiliensis brasiliensis,
Amazonetta brasiliensis ipecutiri,
Tachyeres,
Tachyeres patachonicus,Flying Steamer Duck
Tachyeres pteneres,Fuegian Steamer Duck
Tachyeres brachypterus,Falkland Steamer Duck
Tachyeres leucocephalus,Chubut Steamer Duck
Sibirionetta,
Sibirionetta formosa,Baikal Teal
Spatula,
Spatula querquedula,Garganey
Spatula hottentota,Blue-billed Teal
Spatula puna,Puna Teal
Spatula versicolor,Silver Teal
Spatula versicolor versicolor,
Spatula versicolor fretensis,
Spatula platalea,Red Shoveler
Spatula discors,Blue-winged Teal
Spatula cyanoptera,Cinnamon Teal
Spatula cyanoptera septentrionalium,
Spatula cyanoptera tropica,
