TAXON_ORDER,CATEGORY,SPECIES_CODE,TAXON_CONCEPT_ID,English (Clements),Scientific (Clements),ORDER,FAMILY,SPECIES_GROUP,REPORT_AS,EBIRD,Scientific (AviList),English (AviList),AvibaseID,norm_com_name,taxon_order,category,species_code,bio_concept_code,primary_com_name,sci_name,order1,family,species_group,sparse_report_as,report_as,four_letter_code,extinct,extinct_year,Afrikaans,Albanian,Arabic,Armenian,Assamese,Asturleonese,Azerbaijani,Bangla (Bangladesh),Bengali (India),Bengali,Bulgarian,Catalan,Chinese - Mandarin (trad),"Chinese, Hong Kong","Chinese, Simple","Creole, Haiti",Croatian,Czech,Danish,Dutch,English (AviList)_translations,English,"English, Australia","English, Bangladesh","English, HBW","English, Hawaii","English, Hong Kong","English, IOC","English, India","English, Kenya","English, Malaysia","English, New Zealand","English, Philippines","English, South Africa","English, UAE","English, United Kingdom","English, United States",Estonian,Euskera,Faroese,Finnish,French,"French, AOS","French, Canada","French, France","French, French Guiana","French, Guadeloupe","French, Haiti",Galician,Georgian,German,Greek,Gujarati,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Italian,Japanese,Kannada,Kashmiri (India),Kazakh,Konkani,Korean,Kyrgyz,Ladakhi,Latvian,Lithuanian,Malayalam,Manipuri,Marathi,Mizo,Mongolian,Māori,Nepali (India),Nepali (Nepal),Norwegian,Odia,Persian,Polish,"Portuguese, Angola","Portuguese, Azores","Portuguese, Brazil","Portuguese, Madeira","Portuguese, Portugal","Punjabi, India",Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,"Spanish, Argentina","Spanish, Chile","Spanish, Costa Rica","Spanish, Cuba","Spanish, Dominican Republic","Spanish, Ecuador","Spanish, Honduras","Spanish, Mexico","Spanish, Panama","Spanish, Paraguay","Spanish, Peru","Spanish, Puerto Rico","Spanish, Spain","Spanish, Uruguay","Spanish, Venezuela",Swedish,"Tamil, India",Telugu,Thai,Turkish,Ukrainian,Zulu,pri_com_name_indxd,authority_code,authority_ver,Scientific (AviList)_sci
11127,species,rensap,avibase-20F4B01D,Red-naped Sapsucker,Sphyrapicus nuchalis,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/rensap,Sphyrapicus nuchalis,Red-naped Sapsucker,avibase-20F4B01D,rednapedsapsucker,11017,species,rensap,avibase-20F4B01D,Red-naped Sapsucker,Sphyrapicus nuchalis,Piciformes,Picidae (Woodpeckers),Woodpeckers,,rensap,RNSA,0,,Rooineksapspeg,,,,,,,,,,Червеночел смолояден кълвач,picot de clatell vermell,,,,,crvenogrli djetlić,datel rudošíjný,,Roodneksapspecht,Red-naped Sapsucker,Red-naped Sapsucker,,,Red-naped Sapsucker,,,Red-naped Sapsucker,,,,,,,,,Red-naped Sapsucker,lääne-mahlarähn,,,lännenmahlatikka,Pic à nuque rouge,,Pic à nuque rouge,,,,,,,Rotnacken-Saftlecker,,,,,,Svíraspæta,,,アカエリシルスイキツツキ,,,,,,,,,,,,,,,,,,rødnakkesevjespett,,,oskomik pstrogłowy,,,,,,,,Красногорлый дятел-сокоед,Crvenogrli detlić,miazgojed červenotylový,,Chupasavia Nuquirrojo,,,,,,,,Carpintero Nuca Roja,,,,,Chupasavia nuquirrojo,,,rödnackad savspett,,,,Al Enseli Ağaçkakan,Дятел-смоктун білочеревий,,"Sapsucker, Red-naped",EBIRD,2024,Sphyrapicus nuchalis
11130,species,rebsap,avibase-52F63879,Red-breasted Sapsucker,Sphyrapicus ruber,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/rebsap,Sphyrapicus ruber,Red-breasted Sapsucker,avibase-52F63879,redbreastedsapsucker,11020,species,rebsap,avibase-52F63879,Red-breasted Sapsucker,Sphyrapicus ruber,Piciformes,Picidae (Woodpeckers),Woodpeckers,,rebsap,RBSA,0,,Rooiborssapspeg,,,,,,,,,,Червеноглав смолояден кълвач,picot pit-roig,,,,,pacifički djetlić,datel červenoprsý,,Roodborstsapspecht,Red-breasted Sapsucker,Red-breasted Sapsucker,,,Red-breasted Sapsucker,,,Red-breasted Sapsucker,,,,,,,,,Red-breasted Sapsucker,puna-mahlarähn,,,punamahlatikka,Pic à poitrine rouge,,Pic à poitrine rouge,,,,,,,Feuerkopf-Saftlecker,,,,,,Brjóstspæta,,,ムネアカシルスイキツツキ,,,,,,,,,,,,,,,,,,rødbrystsevjespett,,,oskomik czerwonogłowy,,,,,,,,Красногрудый дятел-сокоед,Crvenogrudi detlić,miazgojed červenohlavý,,Chupasavia Pechirrojo,,,,,,,,Carpintero Pecho Rojo,,,,,Chupasavia pechirrojo,,,rödhuvad savspett,,,,Kırmızı Göğüslü Ağaçkakan,Дятел-смоктун червоноголовий,,"Sapsucker, Red-breasted",EBIRD,2024,Sphyrapicus ruber
11138,species,cugwoo1,avibase-3DC3684D,Cuban Green Woodpecker,Xiphidiopicus percussus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/cugwoo1,Xiphidiopicus percussus,Cuban Green Woodpecker,avibase-3DC3684D,cubangreenwoodpecker,11028,species,cugwoo1,avibase-3DC3684D,Cuban Green Woodpecker,Xiphidiopicus percussus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,cugwoo1,CGWO,0,,Kubaanse Groenspeg,,,,,,,,,,Кубински зелен кълвач,picot arlequí,,,,,kubanski djetlić,datel kubánský,,Cubaanse groene specht,Cuban Green Woodpecker,Cuban Green Woodpecker,,,Cuban Green Woodpecker,,,Cuban Green Woodpecker,,,,,,,,,Cuban Green Woodpecker,viherrähn,,,kuubanvihertikka,Pic poignardé,,Pic poignardé,,,,,,,Blutfleckspecht,,,,,,,,,キューバアオゲラ,,,,,,,,,,,,,,,,,,kubaspett,,,kubańczyk,,,,,,,,Кубинский дятел,Kubanski zeleni detlić,tesárik zelený,,Carpintero Tajá,,,,Carpintero verde,,,,,,,,,Carpintero tajá,,,kubagrönspett,,,,Küba Ağaçkakanı,Дятел кубинський,,"Woodpecker, Cuban Green",EBIRD,2024,Xiphidiopicus percussus
11141,species,whiwoo1,avibase-5CA0BA87,White Woodpecker,Melanerpes candidus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/whiwoo1,Melanerpes candidus,White Woodpecker,avibase-5CA0BA87,whitewoodpecker,11031,species,whiwoo1,avibase-5CA0BA87,White Woodpecker,Melanerpes candidus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,whiwoo1,,0,,Witspeg,,,,,,,,,,Бял кълвач,picot blanc,,,,,bijeli djetlić,datel běloprsý,,Witte specht,White Woodpecker,White Woodpecker,,,White Woodpecker,,,White Woodpecker,,,,,,,,,White Woodpecker,valgerähn,,,valkotikka,Pic dominicain,,Pic dominicain,,,,,,,Weißspecht,,,,,,,,,シロキツツキ,,,,,,,,,,,,,,,,,,hvitspett,,,dzięciur biały,,,pica-pau-branco,,Pica-pau-branco,,,Белый дятел,Beli detlić,tesárik biely,,Carpintero Blanco,Carpintero Blanco,,,,,,,,,Carpintero blanco,Carpintero Blanco,,Carpintero blanco,Carpintero Blanco,,vitspett,,,,Ak Ağaçkakan,Гіла біла,,"Woodpecker, White",EBIRD,2024,Melanerpes candidus
11142,species,lewwoo,avibase-E7C9A1F5,Lewis's Woodpecker,Melanerpes lewis,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/lewwoo,Melanerpes lewis,Lewis's Woodpecker,avibase-E7C9A1F5,lewis'swoodpecker,11032,species,lewwoo,avibase-E7C9A1F5,Lewis's Woodpecker,Melanerpes lewis,Piciformes,Picidae (Woodpeckers),Woodpeckers,,lewwoo,LEWO,0,,Rooiwangspeg,,,,,,,,,,Сивоврат кълвач,picot de Lewis,,,,,grimiznolici djetlić,datel červenolící,,Lewisspecht,Lewis's Woodpecker,Lewis's Woodpecker,,,Lewis's Woodpecker,,,Lewis's Woodpecker,,,,,,,,,Lewis's Woodpecker,tikaträhn,,,sieppotikka,Pic de Lewis,,Pic de Lewis,,,,,,,Blutgesichtspecht,,,,,,Krákuspæta,,,ルイスキツツキ,,,,,,,,,,,,,,,,,,fluesnapperspett,,,dzięciur różowobrzuchy,,,,,,,,Краснолицый дятел,Luisov detlić,tesárik ružovobruchý,,Carpintero de Lewis,,,,,,,,Carpintero de Lewis,,,,,Carpintero de Lewis,,,kråkspett,,,,Lewis Ağaçkakanı,Гіла рожевочерева,,"Woodpecker, Lewis's",EBIRD,2024,Melanerpes lewis
11143,species,guawoo1,avibase-21DB707D,Guadeloupe Woodpecker,Melanerpes herminieri,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/guawoo1,Melanerpes herminieri,Guadeloupe Woodpecker,avibase-21DB707D,guadeloupewoodpecker,11033,species,guawoo1,avibase-21DB707D,Guadeloupe Woodpecker,Melanerpes herminieri,Piciformes,Picidae (Woodpeckers),Woodpeckers,,guawoo1,GUWO,0,,Guadeloupespeg,,,,,,,,,,Гваделупски кълвач,picot de Guadeloupe,,,,,gvadalupski djetlić,datel guadeloupský,,Guadeloupespecht,Guadeloupe Woodpecker,Guadeloupe Woodpecker,,,Guadeloupe Woodpecker,,,Guadeloupe Woodpecker,,,,,,,,,Guadeloupe Woodpecker,guadeloupe'i rähn,,,guadeloupentikka,Pic de Guadeloupe,,Pic de Guadeloupe,,,Pic de Guadeloupe,,,,Guadeloupespecht,,,,,,,,,グアドループキツツキ,,,,,,,,,,,,,,,,,,guadeloupespett,,,dzięciur ciemny,,,,,,,,Гваделупский дятел,Gvadalupski detlić,tesárik čierny,,Carpintero de Isla Guadalupe,,,,,,,,,,,,,Carpintero de isla Guadalupe,,,guadeloupespett,,,,Guadelup Ağaçkakanı,Гіла чорна,,"Woodpecker, Guadeloupe",EBIRD,2024,Melanerpes herminieri
11144,species,purwoo1,avibase-B63209E6,Puerto Rican Woodpecker,Melanerpes portoricensis,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/purwoo1,Melanerpes portoricensis,Puerto Rican Woodpecker,avibase-B63209E6,puertoricanwoodpecker,11034,species,purwoo1,avibase-B63209E6,Puerto Rican Woodpecker,Melanerpes portoricensis,Piciformes,Picidae (Woodpeckers),Woodpeckers,,purwoo1,PRWO,0,,Puerto Ricospeg,,,,,,,,,,Пуерторикански кълвач,picot de Puerto Rico,,,,,portorički djetlić,datel portorický,,Puertoricaanse specht,Puerto Rican Woodpecker,Puerto Rican Woodpecker,,,Puerto Rican Woodpecker,,,Puerto Rican Woodpecker,,,,,,,,,Puerto Rican Woodpecker,puertoriiko rähn,,,puertoricontikka,Pic de Porto Rico,,Pic de Porto Rico,,,,,,,Puerto-Rico-Specht,,,,,,,,,プエルトリコキツツキ,,,,,,,,,,,,,,,,,,puertoricospett,,,dzięciur czerwonogardły,,,,,,,,Пуэрториканский дятел,Portorikanski detlić,tesárik tmavý,,Carpintero Puertorriqueño,,,,,,,,,,,,Carpintero de Puerto Rico,Carpintero puertorriqueño,,,puertoricospett,,,,Porto Riko Ağaçkakanı,Гіла червоногорла,,"Woodpecker, Puerto Rican",EBIRD,2024,Melanerpes portoricensis
11145,species,rehwoo,avibase-448D91B7,Red-headed Woodpecker,Melanerpes erythrocephalus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/rehwoo,Melanerpes erythrocephalus,Red-headed Woodpecker,avibase-448D91B7,redheadedwoodpecker,11035,species,rehwoo,avibase-448D91B7,Red-headed Woodpecker,Melanerpes erythrocephalus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,rehwoo,RHWO,0,,Rooikopspeg,,,,,,,,,,Червеноглав кълвач,picot cap-roig,,,,,grimiznoglavi djetlić,datel červenohlavý,,Roodkopspecht,Red-headed Woodpecker,Red-headed Woodpecker,,,Red-headed Woodpecker,,,Red-headed Woodpecker,,,,,,,,,Red-headed Woodpecker,punapea-rähn,,,punapäätikka,Pic à tête rouge,,Pic à tête rouge,,,,,,,Rotkopfspecht,,,,,,Roðaspæta,,,ズアカキツツキ,,,,,,,,,,,,,,,,,,rødhodespett,,,dzięciur krasnogłowy,,,,,,,,Красноголовый дятел,Crvenoglavi američki detlić,tesárik červenohlavý,,Carpintero Cabecirrojo,,,,,,,,,,,,,Carpintero cabecirrojo,,,rödhuvad hackspett,,,,Kırmızı Başlı Ağaçkakan,Гіла червоноголова,,"Woodpecker, Red-headed",EBIRD,2024,Melanerpes erythrocephalus
11146,species,acowoo,avibase-7E327303,Acorn Woodpecker,Melanerpes formicivorus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/acowoo,Melanerpes formicivorus,Acorn Woodpecker,avibase-7E327303,acornwoodpecker,11036,species,acowoo,avibase-7E327303,Acorn Woodpecker,Melanerpes formicivorus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,acowoo,ACWO,0,,Akkerspeg,,,,,,,,,,Жълъдов кълвач,picot menjaglans,,,,,djetlić žiraš,datel sběrač,,Eikelspecht,Acorn Woodpecker,Acorn Woodpecker,,,Acorn Woodpecker,,,Acorn Woodpecker,,,,,,,,,Acorn Woodpecker,tõrurähn,,,terhotikka,Pic glandivore,,Pic glandivore,,,,,,,Eichelspecht,,,,,,Eikarspæta,,,ドングリキツツキ,,,,,,,,,,,,,,,,,,eikespett,,,dzięciur żołędziowy,,,,,,,,Желудёвый дятел,Žirov detlić,tesárik dubový,,Carpintero Bellotero,,,Carpintero Careto,,,,Carpintero de Robledal,Carpintero Bellotero,Carpintero Careto,,,,Carpintero bellotero,,,samlarspett,,,,Palamut Ağaçkakanı,Гіла чорновола,,"Woodpecker, Acorn",EBIRD,2024,Melanerpes formicivorus
11155,species,gonwoo1,avibase-CF141866,Golden-naped Woodpecker,Melanerpes chrysauchen,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/gonwoo1,Melanerpes chrysauchen,Golden-naped Woodpecker,avibase-CF141866,goldennapedwoodpecker,11045,species,gonwoo1,avibase-CF141866,Golden-naped Woodpecker,Melanerpes chrysauchen,Piciformes,Picidae (Woodpeckers),Woodpeckers,,gonwoo1,GNWO,0,,Goudnekspeg,,,,,,,,,,Костарикански кълвач,picot de clatell daurat,,,,,šarenoglavi djetlić,datel pestrohlavý,,Goudnekspecht,Golden-naped Woodpecker,Golden-naped Woodpecker,,,Golden-naped Woodpecker,,,Golden-naped Woodpecker,,,,,,,,,Golden-naped Woodpecker,kuldkukal-maskrähn,,,keltaniskatikka,Pic masqué,,Pic masqué,,,,,,,Buntkopfspecht,,,,,,,,,キエリミヤビゲラ,,,,,,,,,,,,,,,,,,gullnakkespett,,,dzięciur żółtokarkowy,,,,,,,,Масковый дятел,Žutoglavi kostarikanski detlić,tesárik pestrohlavý,,Carpintero Nuquigualdo,,,Capintero Nuquidorado,,,,,,Carpintero Nuquidorado,,,,Carpintero nuquigualdo,,,guldnackad hackspett,,,,Altın Enseli Ağaçkakan,Гіла маскова,,"Woodpecker, Golden-naped",EBIRD,2024,Melanerpes chrysauchen
11156,species,yetwoo2,avibase-BFF72DFE,Yellow-tufted Woodpecker,Melanerpes cruentatus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/yetwoo2,Melanerpes cruentatus,Yellow-tufted Woodpecker,avibase-BFF72DFE,yellowtuftedwoodpecker,11046,species,yetwoo2,avibase-BFF72DFE,Yellow-tufted Woodpecker,Melanerpes cruentatus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,yetwoo2,,0,,Geelpluimspeg,,,,,,,,,,Жълтовежд кълвач,picot blau,,,,,crnoprsi djetlić,datel žlutooký,,Geelbrauwspecht,Yellow-tufted Woodpecker,Yellow-tufted Woodpecker,,,Yellow-tufted Woodpecker,,,Yellow-tufted Woodpecker,,,,,,,,,Yellow-tufted Woodpecker,must-maskrähn,,,keltasilmätikka,Pic à chevron d'or,,Pic à chevron d'or,,,,,,,Gelbbrauenspecht,,,,,,,,,マミジロミヤビゲラ,,,,,,,,,,,,,,,,,,amazonspett,,,dzięciur czarnoszyi,,,benedito-de-testa-vermelha,,Benedito-de-testa-vermelha,,,Златобровый дятел,Žutooki detlić,tesárik žltooký,,Carpintero Azulado,,,,,,Carpintero Penachiamarillo,,,,,Carpintero de Penacho Amarillo,,Carpintero azulado,,Carpintero Negro,gulögd hackspett,,,,Sarı Kaşlı Ağaçkakan,Гіла чорношия,,"Woodpecker, Yellow-tufted",EBIRD,2024,Melanerpes cruentatus
11157,species,yefwoo1,avibase-F90C0962,Yellow-fronted Woodpecker,Melanerpes flavifrons,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/yefwoo1,Melanerpes flavifrons,Yellow-fronted Woodpecker,avibase-F90C0962,yellowfrontedwoodpecker,11047,species,yefwoo1,avibase-F90C0962,Yellow-fronted Woodpecker,Melanerpes flavifrons,Piciformes,Picidae (Woodpeckers),Woodpeckers,,yefwoo1,,0,,Geelblesspeg,,,,,,,,,,Жълточел кълвач,picot frontgroc,,,,,zlatnogrli djetlić,datel zlatohrdlý,,Goudmaskerspecht,Yellow-fronted Woodpecker,Yellow-fronted Woodpecker,,,Yellow-fronted Woodpecker,,,Yellow-fronted Woodpecker,,,,,,,,,Yellow-fronted Woodpecker,kuldkurk-maskrähn,,,keltakurkkutikka,Pic à front jaune,,Pic à front jaune,,,,,,,Goldmaskenspecht,,,,,,,,,キノドミヤビゲラ,,,,,,,,,,,,,,,,,,gulstrupespett,,,dzięciur żółtoczelny,,,benedito-de-testa-amarela,,Benedito-de-testa-amarela,,,Желтогорлый дятел,Brazilski žutočeli detlić,tesárik žltočelý,,Carpintero Arcoiris,Carpintero Arcoíris,,,,,,,,,Carpintero arcoiris,,,Carpintero arcoiris,,,svartmaskad hackspett,,,,Sarı Alınlı Ağaçkakan,Гіла жовтогорла,,"Woodpecker, Yellow-fronted",EBIRD,2024,Melanerpes flavifrons
11158,species,beawoo2,avibase-BD195A4B,Beautiful Woodpecker,Melanerpes pulcher,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/beawoo2,Melanerpes pulcher,Beautiful Woodpecker,avibase-BD195A4B,beautifulwoodpecker,11048,species,beawoo2,avibase-BD195A4B,Beautiful Woodpecker,Melanerpes pulcher,Piciformes,Picidae (Woodpeckers),Woodpeckers,,beawoo2,,0,,Pragspeg,,,,,,,,,,Колумбийски кълвач,picot del Magdalena,,,,,kolumbijski djetlić,datel magdalenský,,Prachtspecht,Beautiful Woodpecker,Beautiful Woodpecker,,,Beautiful Woodpecker,,,Beautiful Woodpecker,,,,,,,,,Beautiful Woodpecker,kolumbia maskrähn,,,magdalenantikka,Pic splendide,,Pic splendide,,,,,,,Schmuckspecht,,,,,,,,,ウツクシミヤビゲラ,,,,,,,,,,,,,,,,,,praktspett,,,dzięciur żółtogłowy,,,,,,,,Красивый дятел,Detlić iz doline Magdalena u Kolumbiji,tesárik kolumbijský,,Carpintero Lindo,,,,,,,,,,,,,Carpintero lindo,,,colombiaspett,,,,Güzel Ağaçkakan,Гіла колумбійська,,"Woodpecker, Beautiful",EBIRD,2024,Melanerpes pulcher
11159,species,blcwoo1,avibase-8078C2CF,Black-cheeked Woodpecker,Melanerpes pucherani,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/blcwoo1,Melanerpes pucherani,Black-cheeked Woodpecker,avibase-8078C2CF,blackcheekedwoodpecker,11049,species,blcwoo1,avibase-8078C2CF,Black-cheeked Woodpecker,Melanerpes pucherani,Piciformes,Picidae (Woodpeckers),Woodpeckers,,blcwoo1,BCWO,0,,Swartoorspeg,,,,,,,,,,Чернобуз кълвач,picot de Pucheran,,,,,prugastotrbi djetlić,datel černolící,,Zwartwangspecht,Black-cheeked Woodpecker,Black-cheeked Woodpecker,,,Black-cheeked Woodpecker,,,Black-cheeked Woodpecker,,,,,,,,,Black-cheeked Woodpecker,viirselg-maskrähn,,,valkokulmatikka,Pic de Pucheran,,Pic de Pucheran,,,,,,,Schläfenfleckspecht,,,,,,,,,ホオグロミヤビゲラ,,,,,,,,,,,,,,,,,,svartørespett,,,dzięciur pstry,,,,,,,,Чернощёкий дятел,Crnoliki detlić,tesárik čiernolíci,,Carpintero Centroamericano,,,Carpintero Carinegro,,,Carpintero Carinegro,Carpintero Cachete Negro,Carpintero Cara Negra,Carpintero Carinegro,,Carpintero de Cara Negra,,Carpintero centroamericano,,,svartkindad hackspett,,,,Kara Yanaklı Ağaçkakan,Гіла чорнощока,,"Woodpecker, Black-cheeked",EBIRD,2024,Melanerpes pucherani
11160,species,whfwoo1,avibase-5EEB01F7,White-fronted Woodpecker,Melanerpes cactorum,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/whfwoo1,Melanerpes cactorum,White-fronted Woodpecker,avibase-5EEB01F7,whitefrontedwoodpecker,11050,species,whfwoo1,avibase-5EEB01F7,White-fronted Woodpecker,Melanerpes cactorum,Piciformes,Picidae (Woodpeckers),Woodpeckers,,whfwoo1,,0,,Witblesspeg,,,,,,,,,,Белочел кълвач,picot dels cactus,,,,,bjeločeli djetlić,datel kaktusový,,Cactusspecht,White-fronted Woodpecker,White-fronted Woodpecker,,,White-fronted Woodpecker,,,White-fronted Woodpecker,,,,,,,,,White-fronted Woodpecker,valgekukal-maskrähn,,,valko-otsatikka,Pic des cactus,,Pic des cactus,,,,,,,Kaktusspecht,,,,,,,,,サボテンゲラ,,,,,,,,,,,,,,,,,,hvitpannespett,,,dzięciur białoczelny,,,pica-pau-de-testa-branca,,Pica-pau-de-testa-branca,,,Белолобый дятел,Beločeli detlić,tesárik bieločelý,Kaktusov detel,Carpintero de Los Cardones,Carpintero del Cardón,,,,,,,,,Carpintero del cactus,,,Carpintero de los cardones,Carpintero del Cardón,,vitpannad hackspett,,,,Ak Alınlı Ağaçkakan,Гіла кактусова,,"Woodpecker, White-fronted",EBIRD,2024,Melanerpes cactorum
11161,species,hiswoo1,avibase-3E7320BD,Hispaniolan Woodpecker,Melanerpes striatus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/hiswoo1,Melanerpes striatus,Hispaniolan Woodpecker,avibase-3E7320BD,hispaniolanwoodpecker,11051,species,hiswoo1,avibase-3E7320BD,Hispaniolan Woodpecker,Melanerpes striatus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,hiswoo1,HIWO,0,,Hispaniolaspeg,,,,,,,,,,Еспаньолски кълвач,picot de la Hispaniola,,,,Sèpantye,hispaniolski djetlić,datel hispaniolský,,Hispaniolaspecht,Hispaniolan Woodpecker,Hispaniolan Woodpecker,,,Hispaniolan Woodpecker,,,Hispaniolan Woodpecker,,,,,,,,,Hispaniolan Woodpecker,haiti leeträhn,,,hispaniolantikka,Pic d'Hispaniola,,Pic d'Hispaniola,,,,,,,Haitispecht,,,,,,,,,ヒスパニオラシマセゲラ,,,,,,,,,,,,,,,,,,hispaniolaspett,,,dzięciur płowy,,,,,,,,Гаитянский дятел,Detlić sa Hispaniole,tesárik plavý,,Carpintero de la Española,,,,,Carpintero,,,,,,,,Carpintero de La Española,,,hispaniolaspett,,,,Hispanyola Ağaçkakanı,Гіла гаїтійська,,"Woodpecker, Hispaniolan",EBIRD,2024,Melanerpes striatus
11162,species,jamwoo1,avibase-55134E01,Jamaican Woodpecker,Melanerpes radiolatus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/jamwoo1,Melanerpes radiolatus,Jamaican Woodpecker,avibase-55134E01,jamaicanwoodpecker,11052,species,jamwoo1,avibase-55134E01,Jamaican Woodpecker,Melanerpes radiolatus,Piciformes,Picidae (Woodpeckers),Woodpeckers,,jamwoo1,JAWO,0,,Jamaikaanse Speg,,,,,,,,,,Ямайски кълвач,picot de Jamaica,,,,,jamajčki djetlić,datel jamajský,,Jamaicaanse specht,Jamaican Woodpecker,Jamaican Woodpecker,,,Jamaican Woodpecker,,,Jamaican Woodpecker,,,,,,,,,Jamaican Woodpecker,jamaika leeträhn,,,jamaikantikka,Pic de Jamaïque,,Pic de Jamaïque,,,,,,,Jamaikaspecht,,,,,,,,,ジャマイカシマセゲラ,,,,,,,,,,,,,,,,,,jamaicaspett,,,dzięciur białolicy,,,,,,,,Ямайский дятел,Jamajkanski detlić,tesárik bielohrdlý,,Carpintero Jamaicano,,,,,,,,,,,,,Carpintero jamaicano,,,jamaicaspett,,,,Jamaika Ağaçkakanı,Гіла ямайська,,"Woodpecker, Jamaican",EBIRD,2024,Melanerpes radiolatus
11163,species,gocwoo1,avibase-100C01C4,Golden-cheeked Woodpecker,Melanerpes chrysogenys,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/gocwoo1,Melanerpes chrysogenys,Golden-cheeked Woodpecker,avibase-100C01C4,goldencheekedwoodpecker,11053,species,gocwoo1,avibase-100C01C4,Golden-cheeked Woodpecker,Melanerpes chrysogenys,Piciformes,Picidae (Woodpeckers),Woodpeckers,,gocwoo1,GCHW,0,,Goudwangspeg,,,,,,,,,,Златоглав кълвач,picot galtadaurat,,,,,zlatnolici djetlić,datel zlatolící,,Goudwangspecht,Golden-cheeked Woodpecker,Golden-cheeked Woodpecker,,,Golden-cheeked Woodpecker,,,Golden-cheeked Woodpecker,,,,,,,,,Golden-cheeked Woodpecker,laiksilm-leeträhn,,,mustakulmatikka,Pic élégant,,Pic élégant,,,,,,,Goldwangenspecht,,,,,,,,,メガネシマセゲラ,,,,,,,,,,,,,,,,,,gullkinnspett,,,dzięciur złotolicy,,,,,,,,Златощёкий дятел,Zlatoliki detlić,tesárik zlatolíci,,Carpintero Cariamarillo,,,,,,,,Carpintero Enmascarado,,,,,Carpintero cariamarillo,,,gulkindad hackspett,,,,Altın Yanaklı Ağaçkakan,Гіла мексиканська,,"Woodpecker, Golden-cheeked",EBIRD,2024,Melanerpes chrysogenys
11166,species,grbwoo1,avibase-9CE9EDF7,Gray-breasted Woodpecker,Melanerpes hypopolius,Piciformes,Picidae (Woodpeckers),Woodpeckers,,https://ebird.org/species/grbwoo1,Melanerpes hypopolius,Grey-breasted Woodpecker,avibase-9CE9EDF7,greybreastedwoodpecker,11056,species,grbwoo1,avibase-9CE9EDF7,Gray-breasted Woodpecker,Melanerpes hypopolius,Piciformes,Picidae (Woodpeckers),Woodpeckers,,grbwoo1,GBWO,0,,Grysborsspeg,,,,,,,,,,Сивогръд кълвач,picot pitgrís,,,,,smeđoprsi djetlić,datel mexický,,Grijskeelspecht,Gray-breasted Woodpecker,Grey-breasted Woodpecker,,,Grey-breasted Woodpecker,,,Grey-breasted Woodpecker,,,,,,,,,Gray-breasted Woodpecker,oaxaca leeträhn,,,meksikonraitatikka,Pic alezan,,Pic alezan,,,,,,,Fahlbrustspecht,,,,,,Auðnaspæta,,,ハイイロシマセゲラ,,,,,,,,,,,,,,,,,,gråbrystspett,,,dzięciur łzawy,,,,,,,,Серогрудый дятел,Sivogrudi detlić,tesárik sivoprsý,,Carpintero Pechigrís,,,,,,,,Carpintero del Balsas,,,,,Carpintero pechigrís,,,gråbröstad hackspett,,,,Dumanlı Ağaçkakan,Гіла сірогорла,,"Woodpecker, Gray-breasted",EBIRD,2024,Melanerpes hypopolius
