Scientific (Clements),IMAGES,DESC
Ptiloprora mayri,,"A medium-sized honeyeater restricted to mid-montane forest in a few isolated mountain ranges. Gray coloration with a long curved bill, heavy black streaking, diffuse brown color on the back and flanks and a pale gray bill. Doesn’t overlap with any similar species. Call, a rising and falling, slurred, piping “piiwiiiuu!” given at regular intervals. The same note can also be given as falling then rising or just rising."
Ptiloprora guisei,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/264844491/640""><div class=""credit"">©&nbsp;Shailesh Pinto</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/264844451/640""><div class=""credit"">©&nbsp;Lars Petersson | My World of Bird Photography</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/264844471/640""><div class=""credit"">©&nbsp;Tony Palliser</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/264844481/640""><div class=""credit"">©&nbsp;Myles McNally</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/264844461/640""><div class=""credit"">©&nbsp;Holger Teichmann</div></div>","A common, medium-sized honeyeater of montane forest in eastern New Guinea. Gray head and underparts, diffuse rufous-brown back and flanks, with whole body boldly patterned with dark streaks. Long curved bill, pale gray eye and a distinctive pale gray stripe running back from above the eye. Forages out in the open and readily observed. Similar to Gray-streaked but Rufous-backed usually occurs at lower elevation and has a rufous rather than gray back. Common call, a falling then rising “piuuwiiii!”."
Ptiloprora perstriata,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/264845731/640""><div class=""credit"">©&nbsp;Chris Wiley</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/264845751/640""><div class=""credit"">©&nbsp;Holger Teichmann</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/264845741/640""><div class=""credit"">©&nbsp;Scott Baker</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/264845601/640""><div class=""credit"">©&nbsp;Mikko Pyhälä</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/264845721/640""><div class=""credit"">©&nbsp;Émile Brisson-Curadeau</div></div>","A medium-sized honeyeater of montane forest and subalpine scrub. Gray color with heavy streaks over the whole body other than the plain throat, rufous flanks, long, curved bill and a gray eye. Forages at flowering shrubs and cocks its tail. Similar to Rufous-backed and Rufous-sided Honeyeaters, but Gray-streaked is larger with a gray eye and lacks any rufous on the upperparts. Call, a single, falling, plaintive whistle “piiiiiiuuuuu” sometimes given in a falling series. Also gives a nasal “wek!”."
Cissomela pectoralis,"<div class=""img-w-txt""><div class=""type"">Breeding adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/623292413/640""><div class=""credit"">©&nbsp;David Irving</div></div><div class=""img-w-txt""><div class=""type"">Nonbreeding adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/623292448/640""><div class=""credit"">©&nbsp;Simon Colenutt</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/173646631/640""><div class=""credit"">©&nbsp;County Lister Brendan</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/173646661/640""><div class=""credit"">©&nbsp;Barry Deacon</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/623292412/640""><div class=""credit"">©&nbsp;Paul Fenwick</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/173646651/640""><div class=""credit"">©&nbsp;Matt Barneveld</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/173646671/640""><div class=""credit"">©&nbsp;Gary & Robyn Wilson</div></div>","Small black-and-white honeyeater found in drier woodlands of northern tropical Australia. Black above, white below, with neat white cheeks and black breast band. Nonbreeding adult has brownish back. Immature has yellow cheeks and brown upperparts. Juvenile similar but even paler brown and has very indistinct breast band."
Lichmera lombokia,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273609721/640""><div class=""credit"">©&nbsp;Markus Craig</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273609711/640""><div class=""credit"">©&nbsp;Scott Baker</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273609681/640""><div class=""credit"">©&nbsp;Markus Craig</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273609701/640""><div class=""credit"">©&nbsp;Yovie Jehabut</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273609691/640""><div class=""credit"">©&nbsp;Yovie Jehabut</div></div>","A plain, sparrow-sized honeyeater with a slender, downcurved bill like a sunbird’s. Entirely rich olive above, plain gray on face and throat, with a yellow wash on the underparts. Restricted to the islands of Lombok, Sumbawa, and Flores. Plainer than Indonesian Honeyeater, lacking that species’ prominent pale facial skin, yellow wing panel, and a dark mask. Sunda is also noticeably more yellow underneath. Calls include a constant twittering, a nasal “jeez,” and a guttural “grrt.”"
Lichmera argentauris,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273609751/640""><div class=""credit"">©&nbsp;Lucas DeCicco</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273609741/640""><div class=""credit"">©&nbsp;Lucas DeCicco</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273609801/640""><div class=""credit"">©&nbsp;Anonymous</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273609811/640""><div class=""credit"">©&nbsp;Wilbur Goh</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273609821/640""><div class=""credit"">©&nbsp;Pam Rasmussen</div></div>","A nondescript sparrow-sized songbird with a slender, downcurved bill. Entirely olive-green above and uniform pale gray below, but note head pattern, which includes a prominent whitish smudge on the cheeks and dull bare skin below the eye. Juvenile has a pink facial patch. Singles, pairs, or groups inhabit scrubland, wooded areas, and coconut plantations in lowlands. Confined to islets in the Moluccas and to West Papua, where it is readily identified by its head pattern. Harsh, squeaky vocalizations include “tchew” and “grrt” notes and “chi-witchoo” or “witch-oo” phrases."
Lichmera indistincta,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/488019791/640""><div class=""credit"">©&nbsp;Jill Duncan &  Ken Bissett</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125385941/640""><div class=""credit"">©&nbsp;Terence Alexander</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125385931/640""><div class=""credit"">©&nbsp;Rufus Wareham</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273609861/640""><div class=""credit"">©&nbsp;Mat Gilfedder</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125385911/640""><div class=""credit"">©&nbsp;Terence Alexander</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125385951/640""><div class=""credit"">©&nbsp;Terence Alexander</div></div>","Smallish honeyeater with a curved black bill. Grayish overall, with yellowish panels in the wings and tail, and a dark smudge around the eye. Also note bright yellow speckle behind the eye if seen well. In areas of overlap, juvenile Brown Honeyeaters are regularly confused with Dusky Honeyeaters (which are a darker sooty-brown and lack the yellow wing panel). Social and noisy, moving in active flocks. Found in a wide variety of habitats, including mangroves, forests, parks/gardens, and arid inland areas. Very vocal with a wide variety of chattering calls."
Lichmera incana,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/374817061/640""><div class=""credit"">©&nbsp;David Irving</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/374816861/640""><div class=""credit"">©&nbsp;Lars Petersson | My World of Bird Photography</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/374816881/640""><div class=""credit"">©&nbsp;Lars Petersson | My World of Bird Photography</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/374816871/640""><div class=""credit"">©&nbsp;Lars Petersson | My World of Bird Photography</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/374816951/640""><div class=""credit"">©&nbsp;Tommy Pedersen</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/374817021/640""><div class=""credit"">©&nbsp;David Irving</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/374817111/640""><div class=""credit"">©&nbsp;Michael Fuhrer</div></div>","Mostly dull brown with slightly brighter olive wings and a grayish head. A pale buffy-white line runs below the eye to the base of the bill, which is dark and slightly decurved. Found in all habitats. Unlike any other honeyeaters in its range. Voice is most commonly a loud “tchoo-tchoo-tchoo” and a mixed warbling."
Lichmera squamata,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273610021/640""><div class=""credit"">©&nbsp;Simon Colenutt</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273610061/640""><div class=""credit"">©&nbsp;Colin Trainor</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273610041/640""><div class=""credit"">©&nbsp;Gil Ewing</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273610051/640""><div class=""credit"">©&nbsp;Pam Rasmussen</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273610011/640""><div class=""credit"">©&nbsp;Gil Ewing</div></div>","A drab olive-brown sparrow-sized songbird with a downcurved bill, dark speckling on the chest, and a small white cheek patch. Juvenile lacks speckling and has pink cheek skin. Noisy groups inhabit lowland habitats, including forest, mangroves, cultivated areas, and scrub. Confined to the eastern Lesser Sundas and the Tanimbar Islands. Differs from Indonesian Honeyeater in the speckling on the breast and the white facial mark. Calls include a coarse, incessant “tutututututututututu…”, “chup” and “chirrup” notes, and sharp “kwit” calls."
Lichmera alboauricularis,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/264847361/640""><div class=""credit"">©&nbsp;Doug Gochfeld</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/264847341/640""><div class=""credit"">©&nbsp;Lars Petersson | My World of Bird Photography</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/264847381/640""><div class=""credit"">©&nbsp;Stephan Lorenz / Rockjumper Birding Tours</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/264847351/640""><div class=""credit"">©&nbsp;Tony Palliser</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/264847371/640""><div class=""credit"">©&nbsp;Stephan Lorenz / Rockjumper Birding Tours</div></div>","A sparrow-sized honeyeater with a downcurved bill, a prominent white ear mark, plain brown upperparts, and pale underparts with distinct dark mottling on the breast. Inhabits open coastal areas with canegrass and scattered trees, and also mangroves and coconut plantations. Generally occurs within vegetation close to watercourses. Combination of streaked chest, pale ear patch, and plain brown upperparts separate it from all other New Guinea honeyeaters. Vocalizations include harsh chattering and nasal “weet-weet-weet” calls, as well as a sharp “jit” note."
Lichmera deningeri,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/456170561/640""><div class=""credit"">©&nbsp;James Eaton</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273610241/640""><div class=""credit"">©&nbsp;Robert Hutchinson / Birdtour Asia</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273610091/640""><div class=""credit"">©&nbsp;Charles Davies</div></div>","A medium-sized, largely olive-brown songbird with a striking yellow base to the downcurved bill, a thin yellow line from bill to eye, and dull bare skin behind the eye. Found in foothills and mountains, within forest, forest edge, and scrub as singles and pairs, and also joins mixed-species flocks. Larger and heavier-billed than female Wakolo Myzomela, and further differentiated by distinct pale bill base and thin yellow facial line. Song comprises a monotonous staccato “chew-chew-chew…” with pitch variation between notes."
Lichmera monticola,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/460236781/640""><div class=""credit"">©&nbsp;Robert Hutchinson / Birdtour Asia</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/460236771/640""><div class=""credit"">©&nbsp;Anthony Sawbridge</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273610281/640""><div class=""credit"">©&nbsp;Rainer Seifert</div></div>","A drab brown sparrow-sized songbird with a downcurved bill. Note the pale base to the bill, the thin pale line between bill and eye, the pale skin behind the eye, and the prominent dark streaks on the breast. Inhabits montane forest and higher heathland, where it sometimes joins mixed-species flocks. Larger than Seram Myzomela, and further differentiated by pale base to bill, pale facial line, bare facial skin, and bold streaking below. Gives a strident, melodious “twit-twoo” song and harsh “shhurr” and liquid “wip” notes."
Lichmera flavicans,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273610371/640""><div class=""credit"">©&nbsp;Dubi Shapiro</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273610431/640""><div class=""credit"">©&nbsp;Colin Trainor</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273610401/640""><div class=""credit"">©&nbsp;Rick Jacobsen</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273610381/640""><div class=""credit"">©&nbsp;Tim Avery</div></div>","A small green songbird with a decurved bill, a striking yellow ear patch, a white moustache line, and extensively streaked yellow underparts. Juveniles less well marked below, lacking the yellow ear patch. Singles, pairs, or small groups inhabit forest and forest edge, mainly in foothills, less abundant in lowlands. Differs from Streak-breasted Honeyeater in yellow background coloration to underparts, thin moustachial line, and lack of a white throat. Song includes a variety of melodious, bubbling notes with an oriole-like quality. Call is a short, buzzing “zirt,” repeated frequently."
Lichmera notabilis,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/640031861/640""><div class=""credit"">©&nbsp;James Eaton</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/640031772/640""><div class=""credit"">©&nbsp;James Eaton</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/640031770/640""><div class=""credit"">©&nbsp;David Alexander Marques</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/640031771/640""><div class=""credit"">©&nbsp;James Eaton</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/273610511/640""><div class=""credit"">©&nbsp;Pam Rasmussen</div></div>","An unmistakable, strikingly patterned songbird with a downcurved bill. Olive above, with a conspicuous white throat bordered below by a necklace of dark streaks. Rest of underparts lemon-yellow. Inhabits forest, forest edge, gardens, and scrub, where typically encountered in small groups. Confined to the island of Wetar, where no similar birds occur. Song is a short, buzzing, two-note “tzer-tzer.”"
Phylidonyris pyrrhopterus,"<div class=""img-w-txt""><div class=""type"">Male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/623292634/640""><div class=""credit"">©&nbsp;David Irving</div></div><div class=""img-w-txt""><div class=""type"">Female</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/623292633/640""><div class=""credit"">©&nbsp;Paul Brooks</div></div><div class=""img-w-txt""><div class=""type"">Male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/623292632/640""><div class=""credit"">©&nbsp;Paul Brooks</div></div><div class=""img-w-txt""><div class=""type"">Female</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125387641/640""><div class=""credit"">©&nbsp;Andrew Allen</div></div><div class=""img-w-txt""><div class=""type"">Male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125387661/640""><div class=""credit"">©&nbsp;Chris Barnes</div></div><div class=""img-w-txt""><div class=""type"">Male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125387671/640""><div class=""credit"">©&nbsp;Geoffrey Groom</div></div>","Small honeyeater with wide yellow wing patch. Adult males mostly gray with a clear black crescent on each side of the breast. Females are primarily brown and have much fainter crescents; juveniles lack them. Both juveniles and females have much duller yellow wing patches than the adult male. Typically inhabits wet forests, often at higher elevations. Tends to move down from high altitudes in colder months. Common in Tasmania but also found in southern mainland Australia."
Phylidonyris novaehollandiae,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125388631/640""><div class=""credit"">©&nbsp;Michael Rutkowski</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125388621/640""><div class=""credit"">©&nbsp;David  Tytherleigh</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125388651/640""><div class=""credit"">©&nbsp;David Hollie</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125388641/640""><div class=""credit"">©&nbsp;Andrew Allen</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125388611/640""><div class=""credit"">©&nbsp;Forest Botial-Jarvis</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125388671/640""><div class=""credit"">©&nbsp;Chris Wiley</div></div>","Distinctive honeyeater found in coastal heath and gardens. Underparts white with black streaking. Back, wings, and head black with yellow panels on tail and wings. Distinguished from the similar White-cheeked Honeyeater by presence of two smaller white patches on side of face, rather than one large patch. Feeds mostly on nectar but supplements its diet with insects. Often found near flowering Banksia."
Phylidonyris niger,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/623292790/640""><div class=""credit"">©&nbsp;Jack Morgan</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125390011/640""><div class=""credit"">©&nbsp;Ian Davies</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125390001/640""><div class=""credit"">©&nbsp;Mat Gilfedder</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125390021/640""><div class=""credit"">©&nbsp;Tommy Pedersen</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125390031/640""><div class=""credit"">©&nbsp;Chris Wills</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125390041/640""><div class=""credit"">©&nbsp;Ian Davies</div></div>","Distinctive honeyeater with clear, large, white cheek patches. Underparts white with black streaking. Back, wings, and head black with yellow panels on tail and wings. Distinguished from similar New Holland Honeyeater by presence of one large white patch on side of face rather than two smaller ones. Endemic to eastern and southwestern Australia; usually found in habitats where heath is present."
Trichodere cockerelli,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/623292877/640""><div class=""credit"">©&nbsp;Heyn de Kock</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/173647571/640""><div class=""credit"">©&nbsp;Roksana and Terry</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/623292876/640""><div class=""credit"">©&nbsp;JJ Harrison</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/623292955/640""><div class=""credit"">©&nbsp;John C. Mittermeier</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/173647931/640""><div class=""credit"">©&nbsp;Roger Robb</div></div>","Small honeyeater of open forest, heathland, and coastal areas of northern Cape York. Black above, paler with dark streaking below, with small grayish cheek patch, yellow spot behind the eye, messy white throat feathers, and large yellow wing panels. Blackish bill with bluish base."
Nesoptilotis leucotis,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125390651/640""><div class=""credit"">©&nbsp;Terence Alexander</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125390671/640""><div class=""credit"">©&nbsp;David Ongley</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125390641/640""><div class=""credit"">©&nbsp;Bernie McRitchie</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125390621/640""><div class=""credit"">©&nbsp;Roksana and Terry</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125390661/640""><div class=""credit"">©&nbsp;Andrew Allen</div></div>","Medium-sized, olive-brown honeyeater with distinctive white “ears”. Adult has gray crown, black face extending down to upper breast, and clear white patch behind the eye. Juvenile lacks gray crown and black coloration on face and upper breast. Found in a wide range of habitats where trees are present, but typically found in dry eucalypt forests and woodlands. Mainly feeds on insects (often seen foraging in loose bark) but also eats nectar when present."
Nesoptilotis flavicollis,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/623293118/640""><div class=""credit"">©&nbsp;David Southall</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/623293117/640""><div class=""credit"">©&nbsp;Dave Howes</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/623293116/640""><div class=""credit"">©&nbsp;Paul Brooks</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/623293115/640""><div class=""credit"">©&nbsp;Paul Brooks</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/623293119/640""><div class=""credit"">©&nbsp;David Irving</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125390901/640""><div class=""credit"">©&nbsp;Paul Brooks</div></div>","Medium-large honeyeater with bright yellow throat. Back is olive green, head and breast are gray. Underbody and wings have subtle yellow coloration. Juveniles very similar to adults but are duller and have yellow at the base of the bill. Endemic to Tasmania and some surrounding islands; found in most forest and woodland habitats. Feeds primarily on insects and can often be seen foraging on tree trunks."
Entomyzon cyanotis,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/623293243/640""><div class=""credit"">©&nbsp;JJ Harrison</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125391241/640""><div class=""credit"">©&nbsp;Luke Seitz</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125391201/640""><div class=""credit"">©&nbsp;Terence Alexander</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125391191/640""><div class=""credit"">©&nbsp;Rick Franks</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125391221/640""><div class=""credit"">©&nbsp;Rufus Wareham</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125391211/640""><div class=""credit"">©&nbsp;Lucas Brook</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125391251/640""><div class=""credit"">©&nbsp;Terence Alexander</div></div>","Large and conspicuous honeyeater with striking patch of bare facial skin: blue in adults, green in juveniles. White underparts and bright olive upperparts. Face black with white streaks on neck and chin. Usually found in noisy groups—often bickering with other bird species. Usually found in open woodlands and gardens. Can be very common in suburban areas."
Melithreptus albogularis,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125400411/640""><div class=""credit"">©&nbsp;Luke Seitz</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125400391/640""><div class=""credit"">©&nbsp;Julie Sarna</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125400371/640""><div class=""credit"">©&nbsp;Peter Taylor</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125400381/640""><div class=""credit"">©&nbsp;Vanessa Mylett</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/125400361/640""><div class=""credit"">©&nbsp;Stephen Murray</div></div>","Small honeyeater with black cap. Underparts white, upperparts light olive. Has white throat with white band behind the eye. Very similar in appearance to Black-chinned and White-naped Honeyeaters but can easily be distinguished by presence of white skin around the eye. Juveniles are more brownish and have yellow bills. Typically found in pairs or small groups. Inhabits a variety of forest types; tends to favor areas near creeks or rivers."
