Scientific (Clements),MNEMONIC
Canachites canadensis,nan
Tetrao urogallus,nan
Tetrao urogalloides,nan
Lyrurus tetrix,nan
Lyrurus mlokosiewiczi,nan
Rhizothera longirostris,nan
Rhizothera dulitensis,nan
Perdix hodgsoniae,nan
Perdix perdix,nan
Perdix dauurica,nan
Syrmaticus soemmerringii,nan
Syrmaticus reevesii,nan
Syrmaticus mikado,nan
Syrmaticus ellioti,nan
Syrmaticus humiae,nan
Chrysolophus pictus,nan
Chrysolophus amherstiae,nan
Phasianus colchicus,kok-kok (squawky; raucous; followed by wing-whir)
Phasianus versicolor,nan
Catreus wallichii,nan
Crossoptilon harmani,nan
Crossoptilon crossoptilon,nan
Crossoptilon mantchuricum,nan
Crossoptilon auritum,nan
Lophura edwardsi,nan
Lophura swinhoii,nan
Lophura bulweri,nan
Lophura leucomelanos,nan
Lophura nycthemera,nan
Lophura erythrophthalma,nan
Lophura pyronota,nan
Lophura diardi,nan
Lophura inornata,nan
Lophura rufa,nan
Lophura ignita,nan
Rheinardia ocellata,nan
Rheinardia nigrescens,nan
Argusianus argus,nan
Afropavo congensis,nan
Pavo cristatus,nan
Pavo muticus,nan
Tropicoperdix chloropus,nan
Tropicoperdix charltonii,nan
Tropicoperdix graydoni,nan
Haematortyx sanguiniceps,nan
Galloperdix spadicea,nan
Galloperdix lunulata,nan
Galloperdix bicalcarata,nan
Polyplectron napoleonis,nan
Polyplectron schleiermacheri,nan
Polyplectron malacense,nan
Polyplectron germaini,nan
Polyplectron katsumatae,nan
Polyplectron bicalcaratum,nan
Polyplectron inopinatum,nan
Polyplectron chalcurum,nan
Bambusicola fytchii,nan
Bambusicola thoracicus,nan
Bambusicola sonorivox,nan
Gallus varius,nan
Gallus gallus,nan
Gallus sonneratii,nan
Gallus lafayettii,nan
Peliperdix lathami,nan
Ortygornis sephaena,nan
Ortygornis pondicerianus,nan
Ortygornis gularis,nan
Francolinus pintadeanus,nan
Francolinus francolinus,nan
Francolinus pictus,nan
Campocolinus coqui,nan
Campocolinus albogularis,nan
Campocolinus schlegelii,nan
Scleroptila streptophora,nan
Scleroptila levaillantii,nan
Scleroptila finschi,nan
Scleroptila psilolaema,nan
Scleroptila elgonensis,nan
Scleroptila afra,nan
Scleroptila gutturalis,nan
Scleroptila shelleyi,nan
Scleroptila whytei,nan
Tetraogallus tibetanus,nan
Tetraogallus altaicus,nan
Tetraogallus caucasicus,nan
Tetraogallus caspius,nan
Tetraogallus himalayensis,nan
Ammoperdix griseogularis,nan
Ammoperdix heyi,nan
Synoicus ypsilophorus,nan
Synoicus monorthonyx,nan
Synoicus chinensis,nan
Synoicus adansonii,nan
Margaroperdix madagarensis,nan
Coturnix coturnix,nan
Coturnix japonica,nan
Coturnix delegorguei,nan
Coturnix coromandelica,nan
Coturnix pectoralis,nan
Coturnix novaezelandiae,nan
Alectoris barbara,nan
Alectoris melanocephala,nan
Alectoris rufa,nan
Alectoris chukar,nan
Alectoris graeca,nan
Alectoris philbyi,nan
Alectoris magna,nan
Perdicula asiatica,nan
Perdicula argoondah,nan
Perdicula erythrorhyncha,nan
Perdicula manipurensis,nan
Ophrysia superciliosa,nan
Pternistis hartlaubi,nan
Pternistis camerunensis,nan
Pternistis nobilis,nan
Pternistis castaneicollis,nan
Pternistis erckelii,nan
Pternistis ochropectus,nan
Pternistis swierstrai,nan
Pternistis ahantensis,nan
Pternistis griseostriatus,nan
Pternistis jacksoni,nan
Pternistis adspersus,nan
Pternistis capensis,nan
Pternistis natalensis,nan
Pternistis hildebrandti,nan
Pternistis bicalcaratus,nan
Pternistis squamatus,nan
Pternistis icterorhynchus,nan
Pternistis clappertoni,nan
Pternistis harwoodi,nan
Pternistis swainsonii,nan
Pternistis leucoscepus,nan
Pternistis rufopictus,nan
Pternistis afer,nan
