Scientific (Clements),MNEMONIC
Chiroxiphia pareola,nan
Chiroxiphia boliviana,nan
Chiroxiphia caudata,nan
Ilicura militaris,nan
Masius chrysopterus,nan
Corapipo altera,nan
Corapipo leucorrhoa,nan
Corapipo gutturalis,nan
Xenopipo uniformis,nan
Xenopipo atronitens,nan
Cryptopipo litae,nan
Cryptopipo holochlora,nan
Lepidothrix velutina,nan
Lepidothrix coronata,nan
Lepidothrix nattereri,nan
Lepidothrix vilasboasi,nan
Lepidothrix iris,nan
Lepidothrix suavissima,nan
Lepidothrix serena,nan
Lepidothrix isidorei,nan
Lepidothrix coeruleocapilla,nan
Heterocercus aurantiivertex,nan
Heterocercus flavivertex,nan
Heterocercus linteatus,nan
Manacus candei,nan
Manacus aurantiacus,nan
Manacus vitellinus,nan
Manacus manacus,nan
Pipra aureola,nan
Pipra filicauda,nan
Pipra fasciicauda,nan
Machaeropterus deliciosus,nan
Machaeropterus striolatus,nan
Machaeropterus eckelberryi,nan
Machaeropterus regulus,nan
Machaeropterus pyrocephalus,nan
Pseudopipra pipra,nan
Ceratopipra cornuta,nan
Ceratopipra mentalis,nan
Ceratopipra erythrocephala,nan
Ceratopipra rubrocapilla,nan
Ceratopipra chloromeros,nan
Carpornis cucullata,nan
Carpornis melanocephala,nan
Pipreola riefferii,nan
Pipreola intermedia,nan
Pipreola arcuata,nan
Pipreola aureopectus,nan
Pipreola jucunda,nan
Pipreola lubomirskii,nan
Pipreola pulchra,nan
Pipreola frontalis,nan
Pipreola chlorolepidota,nan
Pipreola formosa,nan
Pipreola whitelyi,nan
Ampelioides tschudii,nan
Zaratornis stresemanni,nan
Phytotoma raimondii,nan
Phytotoma rutila,nan
Phytotoma rara,nan
Phibalura flavirostris,nan
Doliornis remseni,nan
Doliornis sclateri,nan
Ampelion rubrocristatus,nan
Ampelion rufaxilla,nan
Phoenicircus carnifex,nan
Phoenicircus nigricollis,nan
Rupicola rupicola,nan
Rupicola peruvianus,nan
Snowornis subalaris,nan
Snowornis cryptolophus,nan
Haematoderus militaris,nan
Querula purpurata,nan
Pyroderus scutatus,nan
Cephalopterus glabricollis,nan
Cephalopterus ornatus,nan
Cephalopterus penduliger,nan
Perissocephalus tricolor,nan
Cotinga amabilis,nan
Cotinga ridgwayi,nan
Cotinga nattererii,nan
Cotinga maynana,nan
Cotinga cotinga,nan
Cotinga maculata,nan
Cotinga cayana,nan
Lipaugus unirufus,nan
Lipaugus streptophorus,nan
Lipaugus vociferans,nan
Lipaugus lanioides,nan
Lipaugus ater,nan
Lipaugus conditus,nan
Lipaugus weberi,nan
Lipaugus fuscocinereus,nan
Lipaugus uropygialis,nan
Procnias tricarunculatus,nan
Procnias albus,nan
Procnias averano,nan
Procnias nudicollis,nan
Porphyrolaema porphyrolaema,nan
Carpodectes hopkei,nan
Carpodectes antoniae,nan
Carpodectes nitidus,nan
Xipholena punicea,nan
Xipholena lamellipennis,nan
Xipholena atropurpurea,nan
Gymnoderus foetidus,nan
Conioptilon mcilhennyi,nan
Tityra cayana,nan
Tityra inquisitor,nan
Tityra leucura,nan
Tityra semifasciata,nan
Schiffornis major,nan
Schiffornis olivacea,nan
Schiffornis veraepacis,nan
Schiffornis aenea,nan
Schiffornis stenorhyncha,nan
Schiffornis turdina,nan
Schiffornis virescens,nan
Laniocera hypopyrra,nan
Laniocera rufescens,nan
Iodopleura isabellae,nan
Iodopleura fusca,nan
Iodopleura pipra,nan
Laniisoma buckleyi,nan
Laniisoma elegans,nan
Xenopsaris albinucha,nan
Pachyramphus viridis,nan
Pachyramphus versicolor,nan
Pachyramphus spodiurus,nan
Pachyramphus rufus,nan
Pachyramphus cinnamomeus,nan
Pachyramphus castaneus,nan
Pachyramphus polychopterus,nan
Pachyramphus albogriseus,nan
Pachyramphus salvini,nan
Pachyramphus major,nan
Pachyramphus marginatus,nan
Pachyramphus surinamus,nan
Pachyramphus aglaiae,nan
Pachyramphus niger,nan
Pachyramphus homochrous,nan
Pachyramphus minor,nan
Pachyramphus validus,nan
Oxyruncus cristatus,nan
Onychorhynchus coronatus,nan
Onychorhynchus swainsoni,nan
Terenotriccus erythrurus,nan
Myiobius villosus,nan
Myiobius sulphureipygius,nan
Myiobius barbatus,nan
Myiobius atricaudus,nan
Piprites chloris,nan
Piprites griseiceps,nan
Piprites pileata,nan
Neopipo cinnamomea,nan
Calyptura cristata,nan
Platyrinchus saturatus,nan
Platyrinchus cancrominus,nan
Platyrinchus mystaceus,nan
Platyrinchus coronatus,nan
Platyrinchus flavigularis,nan
Platyrinchus platyrhynchos,nan
Platyrinchus leucoryphus,nan
Tachuris rubrigastra,nan
Mionectes striaticollis,nan
Mionectes olivaceus,nan
Mionectes galbinus,nan
Mionectes oleagineus,nan
Mionectes macconnelli,nan
Mionectes roraimae,nan
Mionectes rufiventris,nan
Leptopogon amaurocephalus,nan
Leptopogon superciliaris,nan
Leptopogon rufipectus,nan
Leptopogon taczanowskii,nan
Pogonotriccus difficilis,nan
Pogonotriccus eximius,nan
Pogonotriccus ophthalmicus,nan
Pogonotriccus lanyoni,nan
Pogonotriccus paulista,nan
Pogonotriccus poecilotis,nan
Pogonotriccus venezuelanus,nan
Pogonotriccus orbitalis,nan
Pogonotriccus chapmani,nan
Phylloscartes oustaleti,nan
Phylloscartes flavovirens,nan
Phylloscartes virescens,nan
Phylloscartes ventralis,nan
Phylloscartes beckeri,nan
Phylloscartes kronei,nan
Phylloscartes sylviolus,nan
Phylloscartes ceciliae,nan
Phylloscartes roquettei,nan
Phylloscartes superciliaris,nan
Phylloscartes nigrifrons,nan
Phylloscartes flaviventris,nan
Phylloscartes gualaquizae,nan
Phylloscartes parkeri,nan
Pseudotriccus pelzelni,nan
Pseudotriccus simplex,nan
Pseudotriccus ruficeps,nan
Corythopis torquatus,nan
Corythopis delalandi,nan
Myiornis auricularis,nan
Myiornis albiventris,nan
Myiornis atricapillus,nan
Myiornis ecaudatus,nan
Lophotriccus pileatus,nan
Lophotriccus vitiosus,nan
Lophotriccus eulophotes,nan
Lophotriccus galeatus,nan
Atalotriccus pilaris,nan
Oncostoma cinereigulare,nan
Oncostoma olivaceum,nan
Hemitriccus minor,nan
Hemitriccus spodiops,nan
Hemitriccus cohnhafti,nan
Hemitriccus flammulatus,nan
Hemitriccus diops,nan
Hemitriccus obsoletus,nan
Hemitriccus josephinae,nan
Hemitriccus zosterops,nan
Hemitriccus griseipectus,nan
Hemitriccus orbitatus,nan
Hemitriccus iohannis,nan
Hemitriccus striaticollis,nan
Hemitriccus nidipendulus,nan
Hemitriccus margaritaceiventer,nan
Hemitriccus inornatus,nan
Hemitriccus minimus,nan
Hemitriccus granadensis,nan
Hemitriccus cinnamomeipectus,nan
Hemitriccus mirandae,nan
Hemitriccus kaempferi,nan
Hemitriccus rufigularis,nan
Hemitriccus furcatus,nan
Poecilotriccus ruficeps,nan
Poecilotriccus luluae,nan
Poecilotriccus albifacies,nan
Poecilotriccus capitalis,nan
Poecilotriccus senex,nan
Poecilotriccus russatus,nan
Poecilotriccus plumbeiceps,nan
Poecilotriccus fumifrons,nan
Poecilotriccus latirostris,nan
Poecilotriccus sylvia,nan
Poecilotriccus calopterus,nan
Poecilotriccus pulchellus,nan
Taeniotriccus andrei,nan
Todirostrum maculatum,nan
Todirostrum poliocephalum,nan
Todirostrum cinereum,nan
Todirostrum viridanum,nan
Todirostrum nigriceps,nan
Todirostrum pictum,nan
Todirostrum chrysocrotaphum,nan
Cnipodectes subbrunneus,nan
Cnipodectes superrufus,nan
Rhynchocyclus brevirostris,nan
Rhynchocyclus aequinoctialis,nan
Rhynchocyclus olivaceus,nan
Rhynchocyclus pacificus,nan
Rhynchocyclus fulvipectus,nan
Tolmomyias sulphurescens,nan
Tolmomyias traylori,nan
Tolmomyias flavotectus,nan
Tolmomyias assimilis,nan
Tolmomyias poliocephalus,nan
Tolmomyias viridiceps,nan
Tolmomyias flaviventris,nan
Pyrrhomyias cinnamomeus,nan
Hirundinea ferruginea,nan
Myiotriccus ornatus,nan
Nephelomyias pulcher,nan
Nephelomyias lintoni,nan
Nephelomyias ochraceiventris,nan
Ornithion semiflavum,nan
Ornithion brunneicapillus,nan
Ornithion inerme,nan
Camptostoma imberbe,nan
Camptostoma obsoletum,nan
Suiriri suiriri,nan
Mecocerculus poecilocercus,nan
Mecocerculus hellmayri,nan
Mecocerculus stictopterus,nan
Mecocerculus leucophrys,nan
Mecocerculus calopterus,nan
Mecocerculus minor,nan
Anairetes nigrocristatus,nan
Anairetes reguloides,nan
Anairetes alpinus,nan
Anairetes flavirostris,nan
Anairetes parulus,nan
Anairetes fernandezianus,nan
Uromyias agilis,nan
Uromyias agraphia,nan
Nesotriccus tumbezanus,nan
Nesotriccus maranonicus,nan
Nesotriccus ridgwayi,nan
Nesotriccus murinus,nan
Capsiempis flaveola,nan
Polystictus pectoralis,nan
Polystictus superciliaris,nan
Culicivora caudacuta,nan
Pseudocolopteryx sclateri,nan
Pseudocolopteryx acutipennis,nan
Pseudocolopteryx dinelliana,nan
Pseudocolopteryx flaviventris,nan
Pseudocolopteryx citreola,nan
Tyrannulus elatus,nan
Myiopagis gaimardii,nan
Myiopagis parambae,nan
Myiopagis cinerea,nan
Myiopagis olallai,nan
Myiopagis caniceps,nan
Myiopagis subplacens,nan
Myiopagis flavivertex,nan
Myiopagis cotta,nan
Myiopagis viridicata,nan
Elaenia cristata,nan
Elaenia ruficeps,nan
Elaenia strepera,nan
Elaenia gigas,nan
Elaenia sordida,nan
Elaenia dayi,nan
Elaenia obscura,nan
Elaenia flavogaster,nan
Elaenia parvirostris,nan
Elaenia pelzelni,nan
Elaenia spectabilis,nan
Elaenia ridleyana,nan
Elaenia mesoleuca,nan
Elaenia chiriquensis,nan
Elaenia brachyptera,nan
Elaenia albiceps,nan
Elaenia pallatangae,nan
Elaenia frantzii,nan
Elaenia olivina,nan
Elaenia martinica,nan
Elaenia fallax,nan
Elaenia cherriei,nan
Serpophaga cinerea,nan
Serpophaga hypoleuca,nan
Serpophaga nigricans,nan
Serpophaga subcristata,nan
Serpophaga griseicapilla,nan
Phyllomyias virescens,nan
Phyllomyias reiseri,nan
Phyllomyias urichi,nan
Phyllomyias sclateri,nan
Phyllomyias fasciatus,nan
Phyllomyias weedeni,nan
Phyllomyias griseiceps,nan
Phyllomyias plumbeiceps,nan
Phyllomyias griseocapilla,nan
Acrochordopus zeledoni,nan
Acrochordopus burmeisteri,nan
Tyranniscus nigrocapillus,nan
Tyranniscus cinereiceps,nan
Tyranniscus uropygialis,nan
Zimmerius cinereicapilla,nan
Zimmerius villarejoi,nan
Zimmerius chicomendesi,nan
Zimmerius acer,nan
Zimmerius vilissimus,nan
Zimmerius parvus,nan
Zimmerius albigularis,nan
Zimmerius improbus,nan
Zimmerius chrysops,nan
Zimmerius viridiflavus,nan
Zimmerius bolivianus,nan
Zimmerius petersi,nan
Zimmerius gracilipes,nan
Euscarthmus fulviceps,nan
Euscarthmus meloryphus,nan
Euscarthmus rufomarginatus,nan
Pseudelaenia leucospodia,nan
Stigmatura napensis,nan
Stigmatura bahiae,nan
Stigmatura budytoides,nan
Inezia tenuirostris,nan
Inezia inornata,nan
Inezia subflava,nan
Inezia caudata,nan
Myiophobus flavicans,nan
Myiophobus phoenicomitra,nan
Myiophobus inornatus,nan
Myiophobus roraimae,nan
Myiophobus cryptoxanthus,nan
Myiophobus fasciatus,nan
Myiophobus crypterythrus,nan
Myiophobus rufescens,nan
Lathrotriccus euleri,nan
Lathrotriccus griseipectus,nan
Aphanotriccus capitalis,nan
Aphanotriccus audax,nan
Xenotriccus callizonus,nan
Xenotriccus mexicanus,nan
Mitrephanes phaeocercus,nan
Mitrephanes olivaceus,nan
Contopus cooperi,pip-pip or pip-pip-pip<br/>quick; three-beers
Contopus ochraceus,nan
Contopus pertinax,nan
Contopus lugubris,nan
Contopus fumigatus,nan
Contopus pallidus,nan
Contopus punensis,nan
Contopus albogularis,nan
Contopus nigrescens,nan
Contopus cinereus,nan
Contopus sordidulus,nan
Contopus bogotensis,nan
Contopus virens,nan
Contopus caribaeus,nan
Contopus hispaniolensis,nan
Contopus latirostris,nan
Cnemotriccus fuscatus,nan
Empidonax flaviventris,chu-wee; chu-wee<br/>killik
Empidonax virescens,peet-seet or peet-suh or peet
Empidonax alnorum,fitz-bee-
Empidonax traillii,fitz-bew (burry)
Empidonax albigularis,nan
Empidonax minimus,che-bek
Empidonax hammondii,chip-chewy or chip-chewy-chew (hp and a bit burry)
Empidonax wrightii,nan
Empidonax oberholseri,nan
Empidonax affinis,nan
Empidonax difficilis,nan
Empidonax flavescens,nan
Empidonax fulvifrons,nan
Empidonax atriceps,nan
Sayornis nigricans,nan
Sayornis phoebe,fee-beee (last syllable raspy)
Sayornis saya,pi-weer or pee-eee!
Guyramemua affine,nan
Sublegatus arenarum,nan
Sublegatus obscurior,nan
Sublegatus modestus,nan
Pyrocephalus rubinus,nan
Pyrocephalus nanus,nan
Lessonia rufa,nan
Lessonia oreas,nan
Knipolegus orenocensis,nan
Knipolegus poecilurus,nan
Knipolegus poecilocercus,nan
Knipolegus franciscanus,nan
Knipolegus lophotes,nan
Knipolegus nigerrimus,nan
Knipolegus signatus,nan
Knipolegus cabanisi,nan
Knipolegus cyanirostris,nan
Knipolegus striaticeps,nan
Knipolegus aterrimus,nan
Knipolegus hudsoni,nan
Hymenops perspicillatus,nan
Ochthornis littoralis,nan
Satrapa icterophrys,nan
Syrtidicola fluviatilis,nan
Muscisaxicola maculirostris,nan
Muscisaxicola griseus,nan
Muscisaxicola juninensis,nan
Muscisaxicola cinereus,nan
Muscisaxicola albifrons,nan
Muscisaxicola flavinucha,nan
Muscisaxicola rufivertex,nan
Muscisaxicola maclovianus,nan
Muscisaxicola albilora,nan
Muscisaxicola alpinus,nan
Muscisaxicola capistratus,nan
Muscisaxicola frontalis,nan
Cnemarchus erythropygius,nan
Cnemarchus rufipennis,nan
Pyrope pyrope,nan
Xolmis velatus,nan
Xolmis irupero,nan
Nengetus cinereus,nan
Neoxolmis coronatus,nan
Neoxolmis salinarum,nan
Neoxolmis rubetra,nan
Neoxolmis rufiventris,nan
Agriornis montanus,nan
Agriornis albicauda,nan
Agriornis lividus,nan
Agriornis micropterus,nan
Agriornis murinus,nan
Myiotheretes striaticollis,nan
Myiotheretes pernix,nan
Myiotheretes fumigatus,nan
Myiotheretes fuscorufus,nan
Arundinicola leucocephala,nan
Fluvicola pica,nan
Fluvicola albiventer,nan
Fluvicola nengeta,nan
Muscipipra vetula,nan
Gubernetes yetapa,nan
Heteroxolmis dominicana,nan
Alectrurus tricolor,nan
Alectrurus risora,nan
Silvicultrix frontalis,nan
Silvicultrix jelskii,nan
Silvicultrix pulchella,nan
Silvicultrix diadema,nan
Colorhamphus parvirostris,nan
Ochthoeca salvini,nan
Ochthoeca cinnamomeiventris,nan
Ochthoeca nigrita,nan
Ochthoeca thoracica,nan
Ochthoeca rufipectoralis,nan
Ochthoeca fumicolor,nan
Ochthoeca superciliosa,nan
Ochthoeca oenanthoides,nan
Ochthoeca piurae,nan
Ochthoeca leucophrys,nan
Colonia colonus,nan
Muscigralla brevicauda,nan
Ramphotrigon megacephalum,nan
Ramphotrigon ruficauda,nan
Ramphotrigon flammulatum,nan
Ramphotrigon fuscicauda,nan
Attila phoenicurus,nan
Attila cinnamomeus,nan
Attila torridus,nan
Attila citriniventris,nan
Attila bolivianus,nan
Attila rufus,nan
Attila spadiceus,nan
Sirystes albogriseus,nan
Sirystes albocinereus,nan
Sirystes subcanescens,nan
Sirystes sibilator,nan
Casiornis rufus,nan
Casiornis fuscus,nan
Rhytipterna holerythra,nan
Rhytipterna simplex,nan
Rhytipterna immunda,nan
Myiarchus semirufus,nan
Myiarchus yucatanensis,nan
Myiarchus barbirostris,nan
Myiarchus tuberculifer,nan
Myiarchus swainsoni,nan
Myiarchus venezuelensis,nan
Myiarchus panamensis,nan
Myiarchus ferox,nan
Myiarchus apicalis,nan
Myiarchus phaeocephalus,nan
Myiarchus cephalotes,nan
Myiarchus cinerascens,ka-brick ka-wheer prrrrrt (buzzy)
Myiarchus nuttingi,nan
Myiarchus flavidior,nan
Myiarchus crinitus,nan
Myiarchus tyrannulus,nan
Myiarchus magnirostris,nan
Myiarchus nugator,nan
Myiarchus validus,nan
Myiarchus sagrae,nan
Myiarchus stolidus,nan
Myiarchus antillarum,nan
Myiarchus oberi,nan
Machetornis rixosa,nan
Philohydor lictor,nan
Pitangus sulphuratus,"Qu'est-ce qu'il dit? Qu'est-ce qu'il dit? (""What's he saying?"")"
Megarynchus pitangua,nan
Myiozetetes cayanensis,nan
Myiozetetes similis,nan
Myiozetetes granadensis,nan
Myiozetetes luteiventris,nan
Phelpsia inornata,nan
Conopias albovittatus,nan
Conopias parvus,nan
Conopias trivirgatus,nan
Conopias cinchoneti,nan
Myiodynastes hemichrysus,nan
Myiodynastes chrysocephalus,nan
Myiodynastes bairdii,nan
Myiodynastes maculatus,nan
Myiodynastes luteiventris,nan
Legatus leucophaius,nan
Empidonomus varius,nan
Empidonomus aurantioatrocristatus,nan
Tyrannopsis sulphurea,nan
Tyrannus niveigularis,nan
Tyrannus albogularis,nan
Tyrannus melancholicus,nan
Tyrannus couchii,nan
Tyrannus vociferans,nan
Tyrannus crassirostris,nan
Tyrannus verticalis,whit; whit; whit
Tyrannus tyrannus,t-t-tseeep (electrical sputtering)
Tyrannus dominicensis,nan
Tyrannus caudifasciatus,nan
Tyrannus cubensis,nan
Tyrannus forficatus,nan
Tyrannus savana,nan
Menura alberti,nan
Menura novaehollandiae,nan
Atrichornis rufescens,nan
Atrichornis clamosus,nan
Ailuroedus buccoides,nan
Ailuroedus stonii,nan
Ailuroedus geislerorum,nan
Ailuroedus maculosus,nan
Ailuroedus melanotis,nan
Ailuroedus crassirostris,nan
Scenopoeetes dentirostris,nan
Archboldia papuensis,nan
Amblyornis inornata,nan
Amblyornis macgregoriae,nan
Amblyornis subalaris,nan
Amblyornis flavifrons,nan
Prionodura newtoniana,nan
Sericulus aureus,nan
Sericulus ardens,nan
Sericulus bakeri,nan
Sericulus chrysocephalus,nan
Ptilonorhynchus violaceus,nan
Chlamydera guttata,nan
Chlamydera maculata,nan
Chlamydera nuchalis,nan
Chlamydera lauterbachi,nan
Chlamydera cerviniventris,nan
Cormobates placens,nan
Cormobates leucophaea,nan
Climacteris affinis,nan
Climacteris erythrops,nan
Climacteris picumnus,nan
Climacteris melanurus,nan
Climacteris rufus,nan
Amytornis barbatus,nan
Amytornis whitei,nan
Amytornis oweni,nan
Amytornis rowleyi,nan
Amytornis striatus,nan
Amytornis woodwardi,nan
Amytornis dorotheae,nan
Amytornis merrotsyi,nan
Amytornis textilis,nan
Amytornis modestus,nan
Amytornis housei,nan
Amytornis goyderi,nan
Amytornis purnelli,nan
Amytornis ballarae,nan
Stipiturus malachurus,nan
Stipiturus ruficeps,nan
Stipiturus mallee,nan
Sipodotus wallacii,nan
Clytomyias insignis,nan
Chenorhamphus grayi,nan
Chenorhamphus campbelli,nan
Malurus cyanocephalus,nan
Malurus coronatus,nan
Malurus elegans,nan
Malurus pulcherrimus,nan
Malurus assimilis,nan
Malurus lamberti,nan
Malurus amabilis,nan
Malurus splendens,nan
Malurus cyaneus,nan
Malurus leucopterus,nan
Malurus melanocephalus,nan
Malurus alboscapulatus,nan
Myza celebensis,nan
Myza sarasinorum,nan
Acanthorhynchus tenuirostris,nan
Acanthorhynchus superciliosus,nan
Certhionyx variegatus,nan
Pycnopygius ixoides,nan
Pycnopygius cinereus,nan
Pycnopygius stictocephalus,nan
Prosthemadera novaeseelandiae,nan
Anthornis melanura,nan
Anthornis melanocephala,nan
Meliphaga aruensis,nan
Meliphaga notata,nan
Meliphaga lewinii,nan
Meliphaga reticulata,nan
Meliphaga fordiana,nan
Meliphaga albilineata,nan
Meliphaga chrysogenys,nan
Meliphaga montana,nan
Meliphaga mimikae,nan
Meliphaga flavirictus,nan
Meliphaga orientalis,nan
Meliphaga albonotata,nan
Meliphaga analoga,nan
Meliphaga vicina,nan
Meliphaga gracilis,nan
Meliphaga imitatrix,nan
Meliphaga cinereifrons,nan
Stomiopera flava,nan
Stomiopera unicolor,nan
Purnella albifrons,nan
Caligavis chrysops,nan
Caligavis subfrenata,nan
Caligavis obscura,nan
Lichenostomus melanops,nan
Lichenostomus cratitius,nan
Manorina melanophrys,nan
Manorina melanocephala,nan
Manorina flavigula,nan
Manorina melanotis,nan
Melionyx fuscus,nan
Melionyx nouhuysi,nan
Melionyx princeps,nan
Melidectes torquatus,nan
Melidectes ochromelas,nan
Melidectes leucostephes,nan
Melidectes foersteri,nan
Melidectes belfordi,nan
Melidectes rufocrissalis,nan
Bolemoreus frenatus,nan
Bolemoreus hindwoodi,nan
Acanthagenys rufogularis,nan
Anthochaera chrysoptera,nan
Anthochaera lunulata,nan
Anthochaera phrygia,nan
Anthochaera carunculata,nan
Anthochaera paradoxa,nan
Gavicalis versicolor,nan
Gavicalis fasciogularis,nan
Gavicalis virescens,nan
Ptilotula ornata,nan
Ptilotula penicillata,nan
Ptilotula flavescens,nan
Ptilotula fusca,nan
Ptilotula keartlandi,nan
Ptilotula plumula,nan
Stresemannia bougainvillei,nan
Ramsayornis modestus,nan
Ramsayornis fasciatus,nan
Conopophila albogularis,nan
Conopophila rufogularis,nan
Conopophila whitei,nan
Ashbyia lovensis,nan
Epthianura crocea,nan
Epthianura tricolor,nan
Epthianura aurifrons,nan
Epthianura albifrons,nan
Melipotes gymnops,nan
Melipotes fumigatus,nan
Melipotes carolae,nan
Melipotes ater,nan
Macgregoria pulchra,nan
Melilestes megarhynchus,nan
Timeliopsis fulvigula,nan
Timeliopsis griseigula,nan
Sugomel nigrum,nan
Vosea whitemanensis,nan
Myzomela blasii,nan
Myzomela albigula,nan
Myzomela eques,nan
Myzomela cineracea,nan
Myzomela simplex,nan
Myzomela rubrotincta,nan
Myzomela rubrobrunnea,nan
Myzomela obscura,nan
Myzomela cruentata,nan
Myzomela erythrina,nan
Myzomela nigrita,nan
Myzomela pulchella,nan
Myzomela prawiradilagae,nan
Myzomela kuehni,nan
Myzomela erythrocephala,nan
Myzomela dammermani,nan
Myzomela irianawidodoae,nan
Myzomela adolphinae,nan
Myzomela chloroptera,nan
Myzomela batjanensis,nan
Myzomela wahe,nan
Myzomela wakoloensis,nan
Myzomela boiei,nan
Myzomela caledonica,nan
Myzomela sanguinolenta,nan
Myzomela rubratra,nan
Myzomela cardinalis,nan
Myzomela nigriventris,nan
Myzomela chermesina,nan
Myzomela sclateri,nan
Myzomela pammelaena,nan
Myzomela lafargei,nan
Myzomela eichhorni,nan
Myzomela malaitae,nan
Myzomela melanocephala,nan
Myzomela tristrami,nan
Myzomela jugularis,nan
Myzomela erythromelas,nan
Myzomela vulnerata,nan
Myzomela rosenbergii,nan
Myzomela longirostris,nan
Gliciphila undulata,nan
Gliciphila melanops,nan
Gliciphila notabilis,nan
Glycichaera fallax,nan
Ptiloprora plumbea,nan
Ptiloprora meekiana,nan
Ptiloprora erythropleura,nan
Ptiloprora mayri,nan
Ptiloprora guisei,nan
Ptiloprora perstriata,nan
Cissomela pectoralis,nan
Lichmera lombokia,nan
Lichmera argentauris,nan
Lichmera indistincta,nan
Lichmera incana,nan
Lichmera squamata,nan
Lichmera alboauricularis,nan
Lichmera deningeri,nan
Lichmera monticola,nan
Lichmera flavicans,nan
Lichmera notabilis,nan
Phylidonyris pyrrhopterus,nan
Phylidonyris novaehollandiae,nan
Phylidonyris niger,nan
Trichodere cockerelli,nan
Nesoptilotis leucotis,nan
Nesoptilotis flavicollis,nan
Entomyzon cyanotis,nan
Melithreptus albogularis,nan
Melithreptus chloropsis,nan
Melithreptus lunatus,nan
Melithreptus affinis,nan
Melithreptus brevirostris,nan
Melithreptus gularis,nan
Melithreptus validirostris,nan
Meliarchus sclateri,nan
Guadalcanaria inexpectata,nan
Meliphacator provocator,nan
Gymnomyza viridis,nan
Gymnomyza brunneirostris,nan
Gymnomyza samoensis,nan
Gymnomyza aubryana,nan
Foulehaio procerior,nan
Foulehaio carunculatus,nan
Foulehaio taviunensis,nan
Xanthotis flaviventer,nan
Xanthotis polygrammus,nan
Xanthotis macleayanus,nan
Plectorhyncha lanceolata,nan
Grantiella picta,nan
Melitograis gilolensis,nan
Philemon citreogularis,nan
Philemon meyeri,nan
Philemon inornatus,nan
Philemon kisserensis,nan
Philemon brassi,nan
Philemon fuscicapillus,nan
Philemon moluccensis,nan
Philemon plumigenis,nan
Philemon subcorniculatus,nan
Philemon eichhorni,nan
Philemon buceroides,nan
Philemon albitorques,nan
Philemon cockerelli,nan
Philemon argenticeps,nan
Philemon corniculatus,nan
Philemon diemenensis,nan
Dasyornis longirostris,nan
Dasyornis brachypterus,nan
Dasyornis broadbenti,nan
Pardalotus punctatus,nan
Pardalotus quadragintus,nan
Pardalotus rubricatus,nan
Pardalotus striatus,nan
Pachycare flavogriseum,nan
Oreoscopus gutturalis,nan
Pycnoptilus floccosus,nan
Pyrrholaemus brunneus,nan
Pyrrholaemus sagittatus,nan
Hylacola cauta,nan
Hylacola pyrrhopygia,nan
Calamanthus fuliginosus,nan
Calamanthus campestris,nan
Calamanthus montanellus,nan
Smicrornis brevirostris,nan
Neosericornis citreogularis,nan
Origma robusta,nan
Origma murina,nan
Origma solitaria,nan
Sericornis humilis,nan
Sericornis frontalis,nan
Sericornis maculatus,nan
Sericornis keri,nan
Sericornis beccarii,nan
Sericornis magnirostra,nan
Sericornis nouhuysi,nan
Aethomyias spilodera,nan
Aethomyias nigrorufus,nan
Aethomyias rufescens,nan
Aethomyias perspicillatus,nan
Aethomyias arfakianus,nan
Aethomyias papuensis,nan
Acanthornis magna,nan
Aphelocephala leucopsis,nan
Aphelocephala nigricincta,nan
Aphelocephala pectoralis,nan
Acanthiza chrysorrhoa,nan
Acanthiza cinerea,nan
Acanthiza murina,nan
Acanthiza nana,nan
Acanthiza lineata,nan
Acanthiza apicalis,nan
Acanthiza ewingii,nan
Acanthiza katherina,nan
Acanthiza pusilla,nan
Acanthiza robustirostris,nan
Acanthiza iredalei,nan
Acanthiza uropygialis,nan
Acanthiza inornata,nan
Acanthiza reguloides,nan
Gerygone chrysogaster,nan
Gerygone mouki,nan
Gerygone chloronota,nan
Gerygone palpebrosa,nan
Gerygone magnirostris,nan
Gerygone hypoxantha,nan
Gerygone inornata,nan
Gerygone dorsalis,nan
Gerygone olivacea,nan
Gerygone sulphurea,nan
Gerygone tenebrosa,nan
Gerygone flavolateralis,nan
Gerygone citrina,nan
Gerygone levigaster,nan
Gerygone fusca,nan
Gerygone ruficollis,nan
Gerygone insularis,nan
Gerygone modesta,nan
Gerygone igata,nan
Gerygone albofrontata,nan
Garritornis isidorei,nan
Pomatostomus temporalis,nan
Pomatostomus superciliosus,nan
Pomatostomus halli,nan
Pomatostomus ruficeps,nan
Orthonyx novaeguineae,nan
Orthonyx temminckii,nan
Orthonyx spaldingii,nan
Cinclosoma punctatum,nan
Cinclosoma castanotum,nan
Cinclosoma clarum,nan
Cinclosoma castaneothorax,nan
Cinclosoma marginatum,nan
Cinclosoma cinnamomeum,nan
Cinclosoma alisteri,nan
Cinclosoma ajax,nan
Ptilorrhoa leucosticta,nan
Ptilorrhoa caerulescens,nan
Ptilorrhoa geislerorum,nan
Ptilorrhoa castanonota,nan
Pericrocotus erythropygius,nan
Pericrocotus albifrons,nan
Pericrocotus igneus,nan
Pericrocotus cinnamomeus,nan
Pericrocotus solaris,nan
Pericrocotus miniatus,nan
Pericrocotus brevirostris,nan
Pericrocotus lansbergei,nan
Pericrocotus ethologus,nan
Pericrocotus flammeus,nan
Pericrocotus speciosus,nan
Pericrocotus tegimae,nan
