English (Clements),Scientific (Clements),English (AviList),Scientific (AviList),TAXON_CONCEPT_ID,taxon_order,category,species_code,bio_concept_code,primary_com_name,sci_name,order1,family,species_group,sparse_report_as,report_as,four_letter_code,extinct,extinct_year,Afrikaans,Albanian,Arabic,Armenian,Assamese,Asturleonese,Azerbaijani,Bangla (Bangladesh),Bengali (India),Bengali,Bulgarian,Catalan,Chinese - Mandarin (trad),"Chinese, Hong Kong","Chinese, Simple","Creole, Haiti",Croatian,Czech,Danish,Dutch,English (AviList)_translations,English,"English, Australia","English, Bangladesh","English, HBW","English, Hawaii","English, Hong Kong","English, IOC","English, India","English, Kenya","English, Malaysia","English, New Zealand","English, Philippines","English, South Africa","English, UAE","English, United Kingdom","English, United States",Estonian,Euskera,Faroese,Finnish,French,"French, AOS","French, Canada","French, France","French, French Guiana","French, Guadeloupe","French, Haiti",Galician,Georgian,German,Greek,Gujarati,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Italian,Japanese,Kannada,Kashmiri (India),Kazakh,Konkani,Korean,Kyrgyz,Ladakhi,Latvian,Lithuanian,Malayalam,Manipuri,Marathi,Mizo,Mongolian,Māori,Nepali (India),Nepali (Nepal),Norwegian,Odia,Persian,Polish,"Portuguese, Angola","Portuguese, Azores","Portuguese, Brazil","Portuguese, Madeira","Portuguese, Portugal","Punjabi, India",Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,"Spanish, Argentina","Spanish, Chile","Spanish, Costa Rica","Spanish, Cuba","Spanish, Dominican Republic","Spanish, Ecuador","Spanish, Honduras","Spanish, Mexico","Spanish, Panama","Spanish, Paraguay","Spanish, Peru","Spanish, Puerto Rico","Spanish, Spain","Spanish, Uruguay","Spanish, Venezuela",Swedish,"Tamil, India",Telugu,Thai,Turkish,Ukrainian,Zulu,pri_com_name_indxd,authority_code,authority_ver
Red-winged Tinamou,Rhynchotus rufescens,Red-winged Tinamou,Rhynchotus rufescens,avibase-C141F60A,155,species,rewtin1,avibase-C141F60A,Red-winged Tinamou,Rhynchotus rufescens,Tinamiformes,Tinamidae (Tinamous),Tinamous,,rewtin1,,0,,Rooivlerktinamoe,,,,,,,,,,Червенокрило тинаму,tinamú ala-roig,,,,,crvenokrili tinamu,tinama inambu,Pampashøne,Pampahoen,Red-winged Tinamou,Red-winged Tinamou,,,Red-winged Tinamou,,,Red-winged Tinamou,,,,,,,,,Red-winged Tinamou,pampatinamu,Tinamu hegalgorria,,pampatinami,Tinamou isabelle,,Tinamou isabelle,,,,,,,Rotflügeltinamu,,,,,,Gresjutínamúi,,,アカバネシギダチョウ,,,,,,,,,,,,,,,,,,rødvingetinamu,,,kusacz rdzawoskrzydły,,,perdiz,,Perdiz-do-brasil,,,Краснокрылый тинаму,Crvenokrili tinamu,inambu vlnkovaný,,Tinamú Alirrojo,Colorada,,,,,,,,,Martineta,Perdiz de Ala Roja,,Tinamú alirrojo,Martineta,,rostvingad tinamo,,,,Kırmızı Kanatlı Tinamu,Інамбу рудошиїй,,"Tinamou, Red-winged",EBIRD,2024
Brushland Tinamou,Nothoprocta cinerascens,Brushland Tinamou,Nothoprocta cinerascens,avibase-4C8BCEC2,168,species,brutin1,avibase-4C8BCEC2,Brushland Tinamou,Nothoprocta cinerascens,Tinamiformes,Tinamidae (Tinamous),Tinamous,,brutin1,,0,,Bostinamoe,,,,,,,,,,Аржентинско тинаму,tinamú feréstec,,,,,pjegavoprsi tinamu,tinama pokřovní,Mørkvinget Tinamu,Cordobatinamoe,Brushland Tinamou,Brushland Tinamou,,,Brushland Tinamou,,,Brushland Tinamou,,,,,,,,,Brushland Tinamou,viir-mägitinamu,Landa-tinamua,,pensastinami,Tinamou sauvageon,,Tinamou sauvageon,,,,,,,Cordobatinamu,,,,,,,,,アレチシギダチョウ,,,,,,,,,,,,,,,,,,busktinamu,,,kusacz zaroślowy,,,,,,,,Пампасный тинаму,Žbunjački tinamu,inambu krovinový,,Tinamú Montaraz,Inambú Montaraz,,,,,,,,,Perdiz de monte,,,Tinamú montaraz,,,busktinamo,,,,Keklik Tinamusu,Інамбу чагарниковий,,"Tinamou, Brushland",EBIRD,2024
Andean Tinamou,Nothoprocta pentlandii,Andean Tinamou,Nothoprocta pentlandii,avibase-7A66539A,171,species,andtin1,avibase-7A66539A,Andean Tinamou,Nothoprocta pentlandii,Tinamiformes,Tinamidae (Tinamous),Tinamous,,andtin1,,0,,Andestinamoe,,,,,,,,,,Андско тинаму,tinamú andí,,,,,andski tinamu,tinama andská,Andestinamu,Andestinamoe,Andean Tinamou,Andean Tinamou,,,Andean Tinamou,,,Andean Tinamou,,,,,,,,,Andean Tinamou,redu-mägitinamu,Tinamu andetarra,,andientinami,Tinamou des Andes,,Tinamou des Andes,,,,,,,Andentinamu,,,,,,,,,アンデスシギダチョウ,,,,,,,,,,,,,,,,,,andestinamu,,,kusacz andyjski,,,,,,,,Андский тинаму,Andski tinamu,inambu andský,,Tinamú Andino,Inambú Silbón,Perdiz andina,,,,Tinamú Andino,,,,,Perdiz Andina,,Tinamú andino,,,andinsk tinamo,,,,And Tinamusu,Інамбу андійський,,"Tinamou, Andean",EBIRD,2024
Curve-billed Tinamou,Nothoprocta curvirostris,Curve-billed Tinamou,Nothoprocta curvirostris,avibase-F68CA24D,180,species,cubtin1,avibase-F68CA24D,Curve-billed Tinamou,Nothoprocta curvirostris,Tinamiformes,Tinamidae (Tinamous),Tinamous,,cubtin1,,0,,Krombektinamoe,,,,,,,,,,Кривоклюно тинаму,tinamú beccorbat,,,,,crvenoprsi tinamu,tinama křivozobá,Seglnæbbet Tinamu,Krombektinamoe,Curve-billed Tinamou,Curve-billed Tinamou,,,Curve-billed Tinamou,,,Curve-billed Tinamou,,,,,,,,,Curve-billed Tinamou,paramo-mägitinamu,Ordoki-tinamua,,käyränokkatinami,Tinamou curvirostre,,Tinamou curvirostre,,,,,,,Krummschnabeltinamu,,,,,,,,,ハシボソシギダチョウ,,,,,,,,,,,,,,,,,,krumnebbtinamu,,,kusacz krzywodzioby,,,,,,,,Кривоклювый тинаму,Krivokljuni tinamu,inambu krivozobý,,Tinamú del Páramo,,,,,,Tinamú Piquicurvo,,,,,Perdiz de Pico Curvo,,Tinamú del páramo,,,bågnäbbad tinamo,,,,Eğri Gagalı Tinamu,Інамбу криводзьобий,,"Tinamou, Curve-billed",EBIRD,2024
Ornate Tinamou,Nothoprocta ornata,Ornate Tinamou,Nothoprocta ornata,avibase-286A2FBA,161,species,orntin1,avibase-286A2FBA,Ornate Tinamou,Nothoprocta ornata,Tinamiformes,Tinamidae (Tinamous),Tinamous,,orntin1,,0,,Pragtinamoe,,,,,,,,,,Изящно тинаму,tinamú ornat,,,,,šarenokrili tinamu,tinama zdobená,Bjergtinamu,Pisaccatinamoe,Ornate Tinamou,Ornate Tinamou,,,Ornate Tinamou,,,Ornate Tinamou,,,,,,,,,Ornate Tinamou,põld-mägitinamu,Pisaka tinamua,,pyytinami,Tinamou orné,,Tinamou orné,,,,,,,Pisaccatinamu,,,,,,,,,ゴマダラシギダチョウ,,,,,,,,,,,,,,,,,,fjelltinamu,,,kusacz ozdobny,,,,,,,,Украшенный тинаму,Ukrašeni tinamu,inambu ozdobný,,Tinamú Pisacca,Inambú Serrano,Perdiz cordillerana,,,,,,Tinamú Montañes,,,Perdiz Cordillerana,,Tinamú pisacca,,,tofstinamo,,,,Çil Tinamusu,Інамбу рудогрудий,,"Tinamou, Ornate",EBIRD,2024
Taczanowski's Tinamou,Nothoprocta taczanowskii,Taczanowski's Tinamou,Nothoprocta taczanowskii,avibase-368EC295,160,species,tactin1,avibase-368EC295,Taczanowski's Tinamou,Nothoprocta taczanowskii,Tinamiformes,Tinamidae (Tinamous),Tinamous,,tactin1,,0,,Perutinamoe,,,,,,,,,,Дългоклюно тинаму,tinamú de Taczanowski,,,,,krivokljuni tinamu,tinama Taczanowského,Stor Bjergtinamu,Taczanowskitinamoe,Taczanowski's Tinamou,Taczanowski's Tinamou,,,Taczanowski's Tinamou,,,Taczanowski's Tinamou,,,,,,,,,Taczanowski's Tinamou,peruu mägitinamu,Taczanowski tinamua,,peruntinami,Tinamou de Taczanowski,,Tinamou de Taczanowski,,,,,,,Taczanowskitinamu,,,,,,,,,ハシナガシギダチョウ,,,,,,,,,,,,,,,,,,perutinamu,,,kusacz Taczanowskiego,,,,,,,,Хунинский тинаму,Tačanovskijev tinamu,inambu pasienkový,,Tinamú de Taczanowski,,,,,,,,,,,Perdiz de Taczanowski,,Tinamú de Taczanowski,,,Taczanowskis tinamo,,,,Taczanowski Tinamusu,Інамбу перуанський,,"Tinamou, Taczanowski's",EBIRD,2024
Chilean Tinamou,Nothoprocta perdicaria,Chilean Tinamou,Nothoprocta perdicaria,avibase-F900EE88,165,species,chitin1,avibase-F900EE88,Chilean Tinamou,Nothoprocta perdicaria,Tinamiformes,Tinamidae (Tinamous),Tinamous,,chitin1,,0,,Chiletinamoe,,,,,,,,,,Чилийско тинаму,tinamú de Xile,,,,,čilski tinamu,tinama koroptví,Chiletinamu,Chileense tinamoe,Chilean Tinamou,Chilean Tinamou,,,Chilean Tinamou,,,Chilean Tinamou,,,,,,,,,Chilean Tinamou,tšiili mägitinamu,Tinamu txiletarra,,chilentinami,Tinamou perdrix,,Tinamou perdrix,,,,,,,Chiletinamu,,,,,,,,,チリーシギダチョウ,,,,,,,,,,,,,,,,,,chiletinamu,,,kusacz chilijski,,,,,,,,Чилийский тинаму,Čileanski tinamu,inambu poľný,,Tinamú Chileno,Inambú Chileno,Perdiz chilena,,,,,,,,,,,Tinamú chileno,,,chiletinamo,,,,Şili Tinamusu,Інамбу чилійський,,"Tinamou, Chilean",EBIRD,2024
Tawny-breasted Tinamou,Nothocercus julius,Tawny-breasted Tinamou,Nothocercus julius,avibase-5FB99321,41,species,tabtin1,avibase-5FB99321,Tawny-breasted Tinamou,Nothocercus julius,Tinamiformes,Tinamidae (Tinamous),Tinamous,,tabtin1,,0,,Rooikoptinamoe,,,,,,,,,,Жълтогърдо тинаму,tinamú cap-roig,,,,,bjelogrli tinamu,tinama bronzovoprsá,Rødhovedet Tinamu,Roodkoptinamoe,Tawny-breasted Tinamou,Tawny-breasted Tinamou,,,Tawny-breasted Tinamou,,,Tawny-breasted Tinamou,,,,,,,,,Tawny-breasted Tinamou,välutinamu,Tinamu burugorria,,keltarintatinami,Tinamou à tête rousse,,Tinamou à tête rousse,,,,,,,Gelbbrusttinamu,,,,,,,,,チャバラシギダチョウ,,,,,,,,,,,,,,,,,,brunbrysttinamu,,,kusacz rdzawogłowy,,,,,,,,Желтогрудый трёхпалый тинаму,Žutogrudi tinamu,tinama pralesná,,Tinamú Cabecirrojo,,,,,,Tinamú Pechileonado,,,,,Perdiz de Pecho Leonado,,Tinamú cabecirrojo,,Chócora de Tamá,brunbröstad tinamo,,,,Kızılca Tinamu,Тинаму жовтогрудий,,"Tinamou, Tawny-breasted",EBIRD,2024
Hooded Tinamou,Nothocercus nigrocapillus,Hooded Tinamou,Nothocercus nigrocapillus,avibase-68E763AE,49,species,hootin1,avibase-68E763AE,Hooded Tinamou,Nothocercus nigrocapillus,Tinamiformes,Tinamidae (Tinamous),Tinamous,,hootin1,,0,,Swartkoptinamoe,,,,,,,,,,Сивоглаво тинаму,tinamú encaputxat,,,,,crnoglavi tinamu,tinama tmavohlavá,Hættetinamu,Zwartkaptinamoe,Hooded Tinamou,Hooded Tinamou,,,Hooded Tinamou,,,Hooded Tinamou,,,,,,,,,Hooded Tinamou,karbustinamu,Tinamu burubeltza,,hupputinami,Tinamou à capuchon,,Tinamou à capuchon,,,,,,,Kapuzentinamu,,,,,,,,,コモンシギダチョウ,,,,,,,,,,,,,,,,,,blyhettetinamu,,,kusacz ciemnogłowy,,,,,,,,Капюшоновый трёхпалый тинаму,Sivoglavi tinamu,tinama kapucňová,,Tinamú Cabecinegro,,,,,,,,,,,Perdiz de Cabeza Negra,,Tinamú cabecinegro,,,kamtinamo,,,,Takkeli Tinamu,Тинаму чорноголовий,,"Tinamou, Hooded",EBIRD,2024
Highland Tinamou,Nothocercus bonapartei,Highland Tinamou,Nothocercus bonapartei,avibase-66C31E09,42,species,higtin1,avibase-66C31E09,Highland Tinamou,Nothocercus bonapartei,Tinamiformes,Tinamidae (Tinamous),Tinamous,,higtin1,HITI,0,,Bergtinamoe,,,,,,,,,,Планинско тинаму,tinamú de Bonaparte,,,,,bonaparteov tinamu,tinama horská,Bjergskovstinamu,Bergtinamoe,Highland Tinamou,Highland Tinamou,,,Highland Tinamou,,,Highland Tinamou,,,,,,,,,Highland Tinamou,bambusetinamu,Mendi-tinamua,,vuoritinami,Tinamou de Bonaparte,,Tinamou de Bonaparte,,,,,,,Bergtinamu,,,,,,,,,タカネシギダチョウ,,,,,,,,,,,,,,,,,,bambustinamu,,,kusacz górski,,,,,,,,Горный трёхпалый тинаму,Planinski tinamu,tinama horská,,Tinamú Serrano,,,Tinamú Serrano,,,Tinamú Serrano,,,Tinamú Serrano,,Perdiz Montesa,,Tinamú serrano,,Gallina Cuero,höglandstinamo,,,,Bonaparte Tinamusu,Тинаму бурий,,"Tinamou, Highland",EBIRD,2024
Great Tinamou,Tinamus major,Great Tinamou,Tinamus major,avibase-42D72AE1,61,species,gretin1,avibase-42D72AE1,Great Tinamou,Tinamus major,Tinamiformes,Tinamidae (Tinamous),Tinamous,,gretin1,GRTI,0,,Groottinamoe,,,,,,,,,,Голямо тинаму,tinamú olivaci,,,,,maslinasti tinamu,tinama větší,Stor Tinamu,Grote tinamoe,Great Tinamou,Great Tinamou,,,Great Tinamou,,,Great Tinamou,,,,,,,,,Great Tinamou,suurtinamu,Tinamu handia,,isotinami,Grand Tinamou,,Grand Tinamou,,,,,,,Großtinamu,,,,,,,,,オオシギダチョウ,,,,,,,,,,,,,,,,,,stortinamu,,,kusacz duży,,,inhambu-serra,,Inhambu-de-cabeça-vermelha,,,Большой тинаму,Veliki tinamu,tinama veľká,,Tinamú Oliváceo,,,Tinamú Grande,,,Tinamú Grande,Gongolona Mayor,Tinamú Mayor,Tinamú Grande,,Perdiz Grande,,Tinamú oliváceo,,Gallina de Monte,större tinamo,,,,Büyük Tinamu,Тинаму великий,,"Tinamou, Great",EBIRD,2024
Solitary Tinamou,Tinamus solitarius,Solitary Tinamou,Tinamus solitarius,avibase-67E5E0FA,57,species,soltin1,avibase-67E5E0FA,Solitary Tinamou,Tinamus solitarius,Tinamiformes,Tinamidae (Tinamous),Tinamous,,soltin1,,0,,Kluisenaarstinamoe,,,,,,,,,,Сивокръсто тинаму,tinamú solitari,,,,,paragvajski tinamu,tinama samotářská,Olivengrå Tinamu,Kluizenaarstinamoe,Solitary Tinamou,Solitary Tinamou,,,Solitary Tinamou,,,Solitary Tinamou,,,,,,,,,Solitary Tinamou,eraktinamu,Tinamu bakartia,,erakkotinami,Tinamou solitaire,,Tinamou solitaire,,,,,,,Zimttinamu,,,,,,,,,オバシギダチョウ,,,,,,,,,,,,,,,,,,eremittinamu,,,kusacz samotny,,,macuco,,Macuco,,,Тинаму-отшельник,Skriveni tinamu,tinama samotárska,,Tinamú Macuco,Macuco,,,,,,,,,Macuco,,,Tinamú macuco,,,solitärtinamo,,,,Yalnız Tinamu,Тинаму-самітник,,"Tinamou, Solitary",EBIRD,2024
Gray Tinamou,Tinamus tao,Grey Tinamou,Tinamus tao,avibase-346D16D5,52,species,grytin1,avibase-346D16D5,Gray Tinamou,Tinamus tao,Tinamiformes,Tinamidae (Tinamous),Tinamous,,grytin1,,0,,Grystinamoe,,,,,,,,,,Голямо сиво тинаму,tinamú tao,,,,,sivi tinamu,tinama tao,Grå Tinamu,Grijze tinamoe,Gray Tinamou,Grey Tinamou,,,Grey Tinamou,,,Grey Tinamou,,,,,,,,,Gray Tinamou,halltinamu,Tinamu grisa,,harmaatinami,Tinamou tao,,Tinamou tao,,,,,,,Taotinamu,,,,,,,,,ハイイロシギダチョウ,,,,,,,,,,,,,,,,,,taotinamu,,,kusacz szary,,,azulona,,Azulona,,,Тао,Sivi tinamu,tinama sivá,,Tinamú Tao,,,,,,Tinamú Gris,,,,,Perdiz Gris,,Tinamú tao,,Gallina Azul,grå tinamo,,,,Gri Tinamu,Тао,,"Tinamou, Gray",EBIRD,2024
White-throated Tinamou,Tinamus guttatus,White-throated Tinamou,Tinamus guttatus,avibase-0480B7C9,74,species,whttin1,avibase-0480B7C9,White-throated Tinamou,Tinamus guttatus,Tinamiformes,Tinamidae (Tinamous),Tinamous,,whttin1,,0,,Witkeeltinamoe,,,,,,,,,,Белогърло тинаму,tinamú gorjablanc,,,,,pjegavi tinamu,tinama tečkovaná,Gråisset Tinamu,Witkeeltinamoe,White-throated Tinamou,White-throated Tinamou,,,White-throated Tinamou,,,White-throated Tinamou,,,,,,,,,White-throated Tinamou,helmestinamu,Tinamu eztarrizuria,,helmitinami,Tinamou à gorge blanche,,Tinamou à gorge blanche,,,,,,,Weißkehltinamu,,,,,,,,,ノドジロシギダチョウ,,,,,,,,,,,,,,,,,,perletinamu,,,kusacz kropkowany,,,inhambu-galinha,,Inhambu-galinha,,,Белогорлый тинаму,Belogrli tinamu,tinama bielohrdlá,,Tinamú Moteado,,,,,,Tinamú Goliblanco,,,,,Perdiz de Garganta Blanca,,Tinamú moteado,,Gallineta Chica,vitstrupig tinamo,,,,Benekli Tinamu,Тинаму білогорлий,,"Tinamou, White-throated",EBIRD,2024
Black Tinamou,Tinamus osgoodi,Black Tinamou,Tinamus osgoodi,avibase-63C5F122,58,species,blatin1,avibase-63C5F122,Black Tinamou,Tinamus osgoodi,Tinamiformes,Tinamidae (Tinamous),Tinamous,,blatin1,,0,,Swarttinamoe,,,,,,,,,,Голямо черно тинаму,tinamú negre,,,,,crni tinamu,tinama černá,Gråsort Tinamu,Zwarte tinamoe,Black Tinamou,Black Tinamou,,,Black Tinamou,,,Black Tinamou,,,,,,,,,Black Tinamou,musttinamu,Tinamu beltza,,mustatinami,Tinamou noir,,Tinamou noir,,,,,,,Schwarztinamu,,,,,,,,,クロシギダチョウ,,,,,,,,,,,,,,,,,,svarttinamu,,,kusacz czarny,,,,,,,,Чёрный тинаму,Crni tinamu,tinama čierna,,Tinamú Negro,,,,,,Tinamú Negro,,,,,Perdiz Negra,,Tinamú negro,,,svart tinamo,,,,Kara Tinamu,Тинаму чорний,,"Tinamou, Black",EBIRD,2024
Berlepsch's Tinamou,Crypturellus berlepschi,Berlepsch's Tinamou,Crypturellus berlepschi,avibase-9B036853,77,species,bertin1,avibase-9B036853,Berlepsch's Tinamou,Crypturellus berlepschi,Tinamiformes,Tinamidae (Tinamous),Tinamous,,bertin1,,0,,Roettinamoe,,,,,,,,,,Малко черно тинаму,tinamú de Berlepsch,,,,,ekvadorski tinamu,tinama Berlepschova,Sorttinamu,Berlepschtinamoe,Berlepsch's Tinamou,Berlepsch's Tinamou,,,Berlepsch's Tinamou,,,Berlepsch's Tinamou,,,,,,,,,Berlepsch's Tinamou,nõgi-metstinamu,Berlepsch tinamua,,nokitinami,Tinamou de Berlepsch,,Tinamou de Berlepsch,,,,,,,Berlepschtinamu,,,,,,,,,ススグロシギダチョウ,,,,,,,,,,,,,,,,,,sottinamu,,,kusacz brunatny,,,,,,,,Колумбийский скрытохвост,Berlepšov tinamu,tinama sadzová,,Tinamú Tizón,,,,,,Tinamú de Berlepsch,,,,,,,Tinamú tizón,,,sottinamo,,,,Küçük Kara Tinamu,Татаупа чорний,,"Tinamou, Berlepsch's",EBIRD,2024
Cinereous Tinamou,Crypturellus cinereus,Cinereous Tinamou,Crypturellus cinereus,avibase-7C90F8DB,76,species,cintin1,avibase-7C90F8DB,Cinereous Tinamou,Crypturellus cinereus,Tinamiformes,Tinamidae (Tinamous),Tinamous,,cintin1,,0,,Kaneeltinamoe,,,,,,,,,,Малко сиво тинаму,tinamú cendrós,,,,,pepeljasti tinamu,tinama podrostní,Asketinamu,Grauwe tinamoe,Cinereous Tinamou,Cinereous Tinamou,,,Cinereous Tinamou,,,Cinereous Tinamou,,,,,,,,,Cinereous Tinamou,tõmmu-metstinamu,Tinamu hauskara,,punapäätinami,Tinamou cendré,,Tinamou cendré,,,,,,,Grautinamu,,,,,,,,,ムジシギダチョウ,,,,,,,,,,,,,,,,,,gråtinamu,,,kusacz popielaty,,,inhambu-pixuna,,Inhambu-preto,,,Серый скрытохвост,Pepeljasti tinamu,tinama popolavá,,Tinamú Sombrío,,,,,,Tinamú Cinéreo,,,,,Perdiz Cinérea,,Tinamú sombrío,,Poncha,askgrå tinamo,,,,Karaca Tinamu,Татаупа сірий,,"Tinamou, Cinereous",EBIRD,2024
Tepui Tinamou,Crypturellus ptaritepui,Tepui Tinamou,Crypturellus ptaritepui,avibase-F5F9A63F,93,species,teptin1,avibase-F5F9A63F,Tepui Tinamou,Crypturellus ptaritepui,Tinamiformes,Tinamidae (Tinamous),Tinamous,,teptin1,,0,,Tepuitinamoe,,,,,,,,,,Венецуелско тинаму,tinamú dels tepuis,,,,,tepujski tinamu,tinama tepuiová,Tepuítinamu,Tepuitinamoe,Tepui Tinamou,Tepui Tinamou,,,Tepui Tinamou,,,Tepui Tinamou,,,,,,,,,Tepui Tinamou,tepui-metstinamu,Tepui-tinamua,,venezuelantinami,Tinamou des tépuis,,Tinamou des tépuis,,,,,,,Tepuitinamu,,,,,,,,,メジロシギダチョウ,,,,,,,,,,,,,,,,,,tepuitinamu,,,kusacz białooki,,,,,,,,Венесуэльский скрытохвост,Tinamu iz Tepuija,tinama bielooká,,Tinamú de Tepuy,,,,,,,,Tinamú de los Tepuis,,,,,Tinamú de tepuí,,Poncha de los Tepuyes,tepuítinamo,,,,Sarı Gözlü Tinamu,Татаупа білоокий,,"Tinamou, Tepui",EBIRD,2024
Small-billed Tinamou,Crypturellus parvirostris,Small-billed Tinamou,Crypturellus parvirostris,avibase-2988DEC6,147,species,smbtin1,avibase-2988DEC6,Small-billed Tinamou,Crypturellus parvirostris,Tinamiformes,Tinamidae (Tinamous),Tinamous,,smbtin1,,0,,Kortbektinamoe,,,,,,,,,,Червеноклюно тинаму,tinamú beccurt,,,,,kratkokljuni tinamu,tinama malozobá,Kortnæbbet Tinamu,Kortsnaveltinamoe,Small-billed Tinamou,Small-billed Tinamou,,,Small-billed Tinamou,,,Small-billed Tinamou,,,,,,,,,Small-billed Tinamou,lühinokk-metstinamu,Tinamu mokotxikia,,nykerötinami,Tinamou à petit bec,,Tinamou à petit bec,,,,,,,Kleinschnabeltinamu,,,,,,,,,コバシシギダチョウ,,,,,,,,,,,,,,,,,,kortnebbtinamu,,,kusacz krótkodzioby,,,inhambu-chororó,,Inhambu-chororó,,,Короткоклювый скрытохвост,Kratkokljuni tinamu,tinama malozobá,,Tinamú Piquicorto,Tataupá Chico,,,,,,,,,Tataupá chico,Perdiz de Pico Corto,,Tinamú piquicorto,,,kortnäbbad tinamo,,,,Küçük Gagalı Tinamu,Татаупа червонодзьобий,,"Tinamou, Small-billed",EBIRD,2024
Tataupa Tinamou,Crypturellus tataupa,Tataupa Tinamou,Crypturellus tataupa,avibase-9C7F2C57,149,species,tattin1,avibase-9C7F2C57,Tataupa Tinamou,Crypturellus tataupa,Tinamiformes,Tinamidae (Tinamous),Tinamous,,tattin1,,0,,Tataupatinamoe,,,,,,,,,,Горско тинаму,tinamú tataupà,,,,,pjegavoboki tinamu,tinama tataupa,Tataupatinamu,Tataupatinamoe,Tataupa Tinamou,Tataupa Tinamou,,,Tataupa Tinamou,,,Tataupa Tinamou,,,,,,,,,Tataupa Tinamou,tataupa-metstinamu,Tataupa tinamua,,huittitinami,Tinamou tataupa,,Tinamou tataupa,,,,,,,Tataupatinamu,,,,,,,,,ヒメシギダチョウ,,,,,,,,,,,,,,,,,,tataupatinamu,,,kusacz śniady,,,inhambu-chintã,,Inhambu-chintã,,,Скрытохвост татаупа,Crvenokljuni tinamu,tinama tataupa,,Tinamú Tataupá,Tataupá Montaraz,,,,,Tinamú Tataupá,,,,Tataupá común,Perdiz Tataupá,,Tinamú tataupá,,,tataupatinamo,,,,Tataupa Tinamusu,Татаупа сіроголовий,,"Tinamou, Tataupa",EBIRD,2024
Brown Tinamou,Crypturellus obsoletus,Brown Tinamou,Crypturellus obsoletus,avibase-D624C373,94,species,brotin1,avibase-D624C373,Brown Tinamou,Crypturellus obsoletus,Tinamiformes,Tinamidae (Tinamous),Tinamous,,brotin1,,0,,Bruintinamoe,,,,,,,,,,Кафяво тинаму,tinamú bru,,,,,smeđi tinamu,tinama hnědá,Brun Tinamu,Bruine tinamoe,Brown Tinamou,Brown Tinamou,,,Brown Tinamou,,,Brown Tinamou,,,,,,,,,Brown Tinamou,pruun-metstinamu,Tinamu arrea,,ruskotinami,Tinamou brun,,Tinamou brun,,,,,,,Kastanientinamu,,,,,,,,,チャイロシギダチョウ,,,,,,,,,,,,,,,,,,bruntinamu,,,kusacz kasztanowaty,,,inhambuguaçu,,,,,Каштановый скрытохвост,Smeđi tinamu,tinama gaštanová,,Tinamú Café,Tataupá Rojizo,,,,,Tinamú Pardo,,,,Tataupá rojizo,Perdiz Parda,,Tinamú café,Perdiz de Monte,Poncha Montañera,brun tinamo,,,,Kahverengi Tinamu,Татаупа каштановий,,"Tinamou, Brown",EBIRD,2024
Variegated Tinamou,Crypturellus variegatus,Variegated Tinamou,Crypturellus variegatus,avibase-F8BBC7A7,133,species,vartin1,avibase-F8BBC7A7,Variegated Tinamou,Crypturellus variegatus,Tinamiformes,Tinamidae (Tinamous),Tinamous,,vartin1,,0,,Bonttinamoe,,,,,,,,,,Пъстро тинаму,tinamú bigarrat,,,,,riđovrati tinamu,tinama různobarvá,Sorthovedet Tinamu,Bonte tinamoe,Variegated Tinamou,Variegated Tinamou,,,Variegated Tinamou,,,Variegated Tinamou,,,,,,,,,Variegated Tinamou,mustpea-metstinamu,Tinamu nabarra,,punarintatinami,Tinamou varié,,Tinamou varié,,,,,,,Rotbrusttinamu,,,,,,,,,ムネアカシギダチョウ,,,,,,,,,,,,,,,,,,rusthalstinamu,,,kusacz pstry,,,inhambu-anhangá,,Inhambu-anhangá,,,Красногрудый скрытохвост,Krupnopirgavi tinamu,tinama pestrá,,Tinamú Abigarrado,,,,,,Tinamú Abigarrado,,,,,Perdiz Abigarrada,,Tinamú abigarrado,,Gallineta Cuero,broktinamo,,,,Kara Başlı Tinamu,Татаупа амазонійський,,"Tinamou, Variegated",EBIRD,2024
Bartlett's Tinamou,Crypturellus bartletti,Bartlett's Tinamou,Crypturellus bartletti,avibase-88B9ABC1,146,species,bartin2,avibase-88B9ABC1,Bartlett's Tinamou,Crypturellus bartletti,Tinamiformes,Tinamidae (Tinamous),Tinamous,,bartin2,,0,,Woudtinamoe,,,,,,,,,,Амазонско тинаму,tinamú de Bartlett,,,,,barlettov tinamu,tinama Bartlettova,Bartletts Tinamu,Bartlett-tinamoe,Bartlett's Tinamou,Bartlett's Tinamou,,,Bartlett's Tinamou,,,Bartlett's Tinamou,,,,,,,,,Bartlett's Tinamou,ruske-metstinamu,Bartlett tinamua,,amazoniantinami,Tinamou de Bartlett,,Tinamou de Bartlett,,,,,,,Bartletttinamu,,,,,,,,,オトメシギダチョウ,,,,,,,,,,,,,,,,,,skogtinamu,,,kusacz płowy,,,inhambu-anhangaí,,Inhambu-anhangaí,,,Бартлеттов скрытохвост,Bartletov tinamu,tinama plavobruchá,,Tinamú de Bartlett,,,,,,Tinamú de Bartlett,,,,,Perdiz de Bartlett,,Tinamú de Bartlett,,,bartlettinamo,,,,Bartlett Tinamusu,Татаупа перуанський,,"Tinamou, Bartlett's",EBIRD,2024
